"lon","lat","state"
"-86.902298","32.3182314","alabama"
"-111.0937311","34.0489281","arizona"
"-92.2863403","34.5573549","arkansas"
"-119.4179324","36.778261","california"
"-105.7820674","39.5500507","colorado"
"-73.087749","41.6032207","connecticut"
"-81.5157535","27.6648274","florida"
"-82.9000751","32.1656221","georgia"
"-155.5827818","19.8967662","hawaii"
"-114.7420408","44.0682019","idaho"
"-89.3985283","40.6331249","illinois"
"-86.1349019","40.2671941","indiana"
"-93.097702","41.8780025","iowa"
"-98.4842465","39.011902","kansas"
"-84.2700179","37.8393332","kentucky"
"-91.9623327","30.9842977","louisiana"
"-69.4454689","45.253783","maine"
"-76.641273","39.045753","maryland"
"-71.3824374","42.4072107","massachusetts"
"-85.6023643","44.3148443","michigan"
"-94.6858998","46.729553","minnesota"
"-89.3985283","32.3546679","mississippi"
"-91.8318334","37.9642529","missouri"
"-110.3625658","46.8796822","montana"
"-99.9018131","41.4925374","nebraska"
"-74.4056612","40.0583238","new jersey"
"-105.8700901","34.5199402","new mexico"
"-74.0059728","40.7127753","new york"
"-79.0192997","35.7595731","north carolina"
"-101.0020119","47.5514926","north dakota"
"-82.907123","40.4172871","ohio"
"-97.092877","35.0077519","oklahoma"
"-120.5542012","43.8041334","oregon"
NA,NA,"other states"
"-77.1945247","41.2033216","pennsylvania"
"-81.1637245","33.836081","south carolina"
"-99.9018131","43.9695148","south dakota"
"-86.5804473","35.5174913","tennessee"
"-99.9018131","31.9685988","texas"
"-111.0937311","39.3209801","utah"
"-72.5778415","44.5588028","vermont"
"-78.6568942","37.4315734","virginia"
"-120.7401386","47.7510741","washington"
"-80.4549026","38.5976262","west virginia"
"-88.7878678","43.7844397","wisconsin"
"-107.2902839","43.0759678","wyoming"
