,year,months,colony_n,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct,Varroa.mites,Other.pests.parasites,Disesases,Pesticides,Other,Unknown
0,2015,Q1,2824610,500020,18,546980,270530,10,25.2,8.6,3.1,7.4,6.9,4.3
1,2015,Q2,2849500,352860,12,661860,692850,24,43.4,19.5,4.9,16.6,11.6,3.5
2,2015,Q3,3132880,457100,15,172990,303070,10,41.2,17.6,8.0,15.2,8.8,4.8
3,2015,Q4,2874760,412380,14,117150,158790,6,37.0,11.4,5.2,9.5,7.3,6.9
4,2016,Q1,2594590,428800,17,378160,158050,6,34.3,12.6,6.2,10.5,7.0,5.4
5,2016,Q2,2801470,329820,12,736920,561160,20,53.4,16.3,9.5,12.4,12.3,4.1
6,2016,Q3,3181180,397290,12,217320,282130,9,46.1,15.6,6.7,15.1,9.3,4.5
7,2016,Q4,3032060,502350,17,124660,60390,2,46.6,16.9,8.3,9.4,10.1,6.4
8,2017,Q1,2615590,361850,14,586240,239580,9,42.2,15.6,7.1,8.9,7.2,7.4
9,2017,Q2,2886030,225680,8,653470,806170,28,41.6,11.7,4.3,12.9,6.6,4.4
10,2017,Q3,2994500,394810,13,284370,449550,15,45.5,15.0,4.8,10.9,11.6,4.9
11,2017,Q4,2849770,424860,15,204510,213990,8,55.3,18.9,9.4,15.0,11.1,7.6
12,2018,Q1,2631220,425220,16,512940,288750,11,40.8,12.7,4.3,10.3,8.7,7.2
13,2018,Q2,2692660,270000,10,725650,715110,27,53.4,19.0,11.4,13.0,14.4,9.1
14,2018,Q3,2958790,377120,13,263560,420780,14,53.8,15.2,6.4,15.7,13.9,4.7
15,2018,Q4,2868970,444730,16,219640,154560,5,50.5,20.3,10.4,13.8,8.4,6.5
16,2019,Q1,2671470,407700,15,247710,179500,7,45.6,14.8,7.1,13.6,9.0,5.2
17,2019,Q3,3175960,434700,14,252550,355330,11,44.1,13.4,8.5,13.6,11.9,4.5
18,2019,Q4,3018110,399510,13,233260,91000,3,45.7,15.0,5.4,10.9,8.6,5.3
19,2020,Q1,2876100,399570,14,477200,153390,5,25.5,8.0,4.4,5.0,5.6,5.4
20,2020,Q2,2982900,252630,8,596860,632680,21,42.3,12.2,5.5,6.1,10.8,5.2
21,2020,Q3,3175330,411490,13,348280,381620,12,55.7,12.8,6.1,21.7,13.8,4.1
22,2020,Q4,3135340,484920,15,271500,128990,4,48.6,11.0,6.8,8.0,4.1,6.3
23,2021,Q1,2923240,372630,13,308530,156270,5,31.3,8.8,2.2,6.3,6.5,3.3
24,2021,Q2,2855070,255860,9,677690,480380,17,48.7,12.8,5.5,12.3,11.3,3.9
25,2021,Q3,3173390,295660,9,194900,226820,7,38.0,11.6,5.5,9.2,9.3,4.5
26,2021,Q4,3091790,329110,11,93940,146520,5,33.6,10.6,3.9,5.6,5.4,4.7
27,2022,Q1,2875770,331780,12,367890,187180,7,33.7,8.4,2.5,5.8,4.5,4.2
28,2022,Q2,2921590,282630,10,589630,492410,17,45.2,21.2,3.9,6.7,15.1,3.5
