,year,months,state,colony_n,colony_max,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct,Varroa.mites,Other.pests.parasites,Disesases,Pesticides,Other,Unknown
0,2015,Q1,alabama,7000.0,7000.0,1800.0,26,2800,250.0,4,700.0,378.0,0.0,154.0,637.0,658.0
1,2015,Q1,arizona,35000.0,35000.0,4600.0,13,3400,2100.0,6,9415.0,7175.0,35.0,0.0,630.0,1085.0
2,2015,Q1,arkansas,13000.0,14000.0,1500.0,11,1200,90.0,1,2464.0,1596.0,210.0,476.0,140.0,140.0
3,2015,Q1,california,1440000.0,1690000.0,255000.0,15,250000,124000.0,7,417430.0,121680.0,50700.0,126750.0,109850.0,47320.0
4,2015,Q1,colorado,3500.0,12500.0,1500.0,12,200,140.0,1,1825.0,112.5,225.0,75.0,325.0,737.5
5,2015,Q1,connecticut,3900.0,3900.0,870.0,22,290,0.0,0,97.5,54.6,0.0,0.0,826.8,93.6
6,2015,Q1,florida,305000.0,315000.0,42000.0,13,54000,25000.0,8,70245.0,42525.0,2520.0,28035.0,16065.0,13860.0
7,2015,Q1,georgia,104000.0,105000.0,14500.0,14,47000,9500.0,9,6510.0,5145.0,3465.0,2730.0,5040.0,11025.0
8,2015,Q1,hawaii,10500.0,10500.0,380.0,4,3400,760.0,7,4074.0,3958.5,168.0,0.0,210.0,0.0
9,2015,Q1,idaho,81000.0,88000.0,3700.0,4,2600,8000.0,9,35024.0,5896.0,11000.0,4224.0,7832.0,4312.0
10,2015,Q1,illinois,6000.0,10500.0,4200.0,40,2300,390.0,4,1291.5,724.5,73.5,42.0,1323.0,1218.0
11,2015,Q1,indiana,9000.0,9500.0,2100.0,22,490,120.0,1,1966.5,28.5,19.0,28.5,2118.5,1111.5
12,2015,Q1,iowa,12500.0,17500.0,3100.0,18,1700,270.0,2,4550.0,122.5,805.0,595.0,3150.0,595.0
13,2015,Q1,kansas,4600.0,7000.0,1600.0,23,450,70.0,1,2289.0,91.0,77.0,994.0,665.0,238.0
14,2015,Q1,kentucky,7500.0,10500.0,4100.0,39,250,0.0,0,1134.0,1123.5,262.5,262.5,2383.5,1354.5
15,2015,Q1,louisiana,51000.0,51000.0,8000.0,16,3100,6500.0,13,8772.0,2397.0,2193.0,867.0,1581.0,1071.0
16,2015,Q1,maine,3100.0,6500.0,380.0,6,20,0.0,0,286.0,6.5,0.0,0.0,487.5,123.5
17,2015,Q1,maryland,7500.0,10000.0,4100.0,41,1600,870.0,9,1010.0,180.0,40.0,0.0,2420.0,1240.0
18,2015,Q1,massachusetts,2900.0,4600.0,1000.0,22,260,120.0,3,1081.0,161.0,96.6,128.8,349.6,216.2
19,2015,Q1,michigan,16500.0,60000.0,11500.0,19,7500,2400.0,4,8580.0,1860.0,660.0,960.0,4980.0,2760.0
20,2015,Q1,minnesota,28000.0,74000.0,3700.0,5,690,530.0,1,1036.0,74.0,0.0,74.0,1184.0,1554.0
21,2015,Q1,mississippi,34000.0,76000.0,8500.0,11,22000,7500.0,10,7144.0,6232.0,76.0,1596.0,912.0,836.0
22,2015,Q1,missouri,12000.0,13000.0,2000.0,15,220,910.0,7,1703.0,780.0,286.0,546.0,1534.0,819.0
23,2015,Q1,montana,8500.0,36000.0,2200.0,6,1400,1100.0,3,3132.0,180.0,216.0,288.0,828.0,2844.0
24,2015,Q1,nebraska,10000.0,31000.0,2600.0,8,120,310.0,1,1829.0,31.0,31.0,155.0,93.0,930.0
25,2015,Q1,new jersey,6000.0,9000.0,1100.0,12,570,1600.0,18,3609.0,1188.0,2736.0,999.0,1755.0,1503.0
26,2015,Q1,new mexico,7000.0,7000.0,690.0,10,190,600.0,9,1197.0,7.0,0.0,14.0,91.0,28.0
27,2015,Q1,new york,27000.0,30000.0,6500.0,22,430,950.0,3,2280.0,780.0,150.0,1320.0,3720.0,2490.0
28,2015,Q1,north carolina,24000.0,26000.0,7000.0,27,6000,690.0,3,9230.0,598.0,26.0,5954.0,1612.0,3172.0
29,2015,Q1,north dakota,57000.0,120000.0,620.0,1,1800,530.0,0,2040.0,2040.0,0.0,0.0,3000.0,120.0
30,2015,Q1,ohio,18000.0,22000.0,10500.0,48,5000,3300.0,15,2354.0,352.0,220.0,660.0,3916.0,682.0
31,2015,Q1,oklahoma,9500.0,26000.0,6000.0,23,2600,260.0,1,3770.0,2626.0,130.0,0.0,546.0,754.0
32,2015,Q1,oregon,77000.0,87000.0,6500.0,8,4300,2400.0,3,17574.0,1740.0,348.0,522.0,1392.0,957.0
33,2015,Q1,other states,3410.0,8990.0,2080.0,23,870,150.0,2,71.92,8.99,0.0,8.99,80.91,0.0
34,2015,Q1,pennsylvania,14000.0,21000.0,6500.0,31,360,0.0,0,5901.0,1323.0,399.0,399.0,3738.0,1323.0
35,2015,Q1,south carolina,17000.0,17500.0,2700.0,15,2700,1400.0,8,1837.5,402.5,35.0,52.5,630.0,507.5
36,2015,Q1,south dakota,50000.0,97000.0,4600.0,5,8500,2800.0,3,1164.0,873.0,291.0,485.0,1164.0,1746.0
37,2015,Q1,tennessee,9500.0,9500.0,2000.0,21,1000,190.0,2,2109.0,1624.5,0.0,0.0,1235.0,418.0
38,2015,Q1,texas,191000.0,250000.0,26000.0,10,82000,51000.0,20,53750.0,30500.0,12500.0,27750.0,5750.0,15500.0
39,2015,Q1,utah,6000.0,24000.0,3300.0,14,2500,290.0,1,3264.0,216.0,24.0,1056.0,720.0,120.0
