"","year","state","yield_per_colony_kg","average_price"
"1","2015","alabama","106","7.06"
"2","2015","arizona","78","3.84"
"3","2015","arkansas","130","4.08"
"4","2015","california","78","4.12"
"5","2015","colorado","74","4.22"
"6","2015","connecticut","34","3.2"
"7","2015","florida","120","4.16"
"8","2015","georgia","124","4.38"
"9","2015","hawaii","186","4.58"
"10","2015","idaho","68","4.06"
"11","2015","illinois","98","8.22"
"12","2015","indiana","124","6.38"
"13","2015","iowa","86","4.82"
"14","2015","kansas","150","4.76"
"15","2015","kentucky","94","7.92"
"16","2015","louisiana","168","4.36"
"17","2015","maine","94","9.98"
"18","2015","maryland","84","2.93"
"19","2015","massachusetts","26","3.45"
"20","2015","michigan","126","4.98"
"21","2015","minnesota","120","4.12"
"22","2015","mississippi","224","4.02"
"23","2015","missouri","94","7.26"
"24","2015","montana","176","4.18"
"25","2015","nebraska","150","4.08"
"26","2015","newjersey","60","6.26"
"27","2015","newmexico","110","4.4"
"28","2015","newyork","110","5.66"
"29","2015","northcarolina","86","6.98"
"30","2015","northdakota","172","3.98"
"31","2015","ohio","122","7.16"
"32","2015","oklahoma","100","4.56"
"33","2015","oregon","80","4.4"
"34","2015","pennsylvania","92","5.82"
"35","2015","southcarolina","108","7.94"
"36","2015","southdakota","174","4.16"
"37","2015","tennessee","126","7.52"
"38","2015","texas","156","4.48"
"39","2015","utah","56","4.26"
"40","2015","vermont","116","9.78"
"41","2015","virginia","82","9.36"
"42","2015","washington","88","5.22"
"43","2015","westvirginia","62","8.14"
"44","2015","wisconsin","108","4.76"
"45","2015","wyoming","122","4.16"
"46","2016","alabama","94","7.66"
"47","2016","arizona","98","4.06"
"48","2016","arkansas","144","4.12"
"49","2016","california","60","4.06"
"50","2016","colorado","102","4.52"
"51","2016","connecticut","34","3.22"
"52","2016","florida","108","3.94"
"53","2016","georgia","80","4.86"
"54","2016","hawaii","204","3.82"
"55","2016","idaho","64","3.86"
"56","2016","illinois","102","9.32"
"57","2016","indiana","106","6.46"
"58","2016","iowa","100","4.4"
"59","2016","kansas","72","7"
"60","2016","kentucky","92","8.08"
"61","2016","louisiana","198","3.9"
