year_revisited,state,season,colony_lost_pct
2015,Alabama,Summer,14.0
2015,Alabama,Winter,26.0
2015,Arizona,Summer,16.0
2015,Arizona,Winter,13.0
2015,Arkansas,Summer,22.0
2015,Arkansas,Winter,11.0
2015,California,Summer,10.0
2015,California,Winter,15.0
2015,Colorado,Summer,11.5
2015,Colorado,Winter,12.0
2015,Connecticut,Summer,2.0
2015,Connecticut,Winter,22.0
2015,Florida,Summer,16.0
2015,Florida,Winter,13.0
2015,Georgia,Summer,15.5
2015,Georgia,Winter,14.0
2015,Hawaii,Summer,10.0
2015,Hawaii,Winter,4.0
2015,Idaho,Summer,10.0
2015,Idaho,Winter,4.0
2015,Illinois,Summer,12.0
2015,Illinois,Winter,40.0
2015,Indiana,Summer,10.5
2015,Indiana,Winter,22.0
2015,Iowa,Summer,7.0
2015,Iowa,Winter,18.0
2015,Kansas,Summer,10.5
2015,Kansas,Winter,23.0
2015,Kentucky,Summer,12.5
2015,Kentucky,Winter,39.0
2015,Louisiana,Summer,4.0
2015,Louisiana,Winter,16.0
2015,Maine,Summer,9.5
2015,Maine,Winter,6.0
2015,Maryland,Summer,6.0
2015,Maryland,Winter,41.0
2015,Massachusetts,Summer,5.0
2015,Massachusetts,Winter,22.0
2015,Michigan,Summer,9.5
2015,Michigan,Winter,19.0
2015,Minnesota,Summer,17.0
2015,Minnesota,Winter,5.0
2015,Mississippi,Summer,11.0
2015,Mississippi,Winter,11.0
2015,Missouri,Summer,6.5
2015,Missouri,Winter,15.0
2015,Montana,Summer,4.5
2015,Montana,Winter,6.0
2015,Nebraska,Summer,7.0
2015,Nebraska,Winter,8.0
2015,New Jersey,Summer,5.5
2015,New Jersey,Winter,12.0
2015,New Mexico,Summer,18.5
2015,New Mexico,Winter,10.0
2015,New York,Summer,8.5
2015,New York,Winter,22.0
2015,North Carolina,Summer,10.0
2015,North Carolina,Winter,27.0
2015,North Dakota,Summer,12.5
2015,North Dakota,Winter,1.0
2015,Ohio,Summer,9.5
2015,Ohio,Winter,48.0
2015,Oklahoma,Summer,4.5
2015,Oklahoma,Winter,23.0
2015,Oregon,Summer,7.5
2015,Oregon,Winter,8.0
