"","Year","Period","State","State ANSI","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES"
"1",2022,"APR THRU JUN","ALABAMA","01",4600,12000,270,1300,11,1,17.9,6.9,14.3,3.7,36,1900,16,12000
"2",2022,"APR THRU JUN","ARIZONA","04",17500,32000,820,3100,10,1.3,4.8,0,NA,NA,8.4,2800,9,31000
"3",2022,"APR THRU JUN","ARKANSAS","05",5000,22000,380,2800,13,2,6.5,11.2,14.4,3.8,22.2,1100,5,19000
"4",2022,"APR THRU JUN","CALIFORNIA","06",154000,1030000,6000,82000,8,4.8,19.8,6.7,16,3.7,41.1,121000,12,980000
"5",2022,"APR THRU JUN","COLORADO","08",7500,19500,60,1400,7,0.6,16.6,NA,0,NA,27,2300,12,8000
"6",2022,"APR THRU JUN","CONNECTICUT","09",130,4100,0,30,1,NA,1.1,NA,NA,NA,1.9,30,1,4100
"7",2022,"APR THRU JUN","FLORIDA","12",40000,3e+05,5500,34000,11,5.9,12.7,8.5,15.8,6.5,28.4,39000,13,290000
"8",2022,"APR THRU JUN","GEORGIA","13",27000,134000,4900,25000,19,1.4,8.1,5.9,8.8,5.6,35,47000,35,132000
"9",2022,"APR THRU JUN","HAWAII","15",2200,22000,130,420,2,4.6,0.5,0,61.2,NA,63.1,2100,10,22000
"10",2022,"APR THRU JUN","IDAHO","16",35000,111000,2800,14500,13,5.6,9.5,13.7,13.1,3.5,32.6,8500,8,103000
