"year","months","MaximumTemperature","MinimumTemperature","PalmerDroughtSeverityIndexPDSI","Precipitation","AverageTemperature","state"
"2015","January-March",20.44,-1.11,-0.87,4.22333333333333,8.65,"Alabama"
"2015","April-June",31.94,13.06,-0.75,4.91,22.33,"Alabama"
"2015","July-September",33.28,17.56,-1.18333333333333,4.12,25.74,"Alabama"
"2015","October-December",24.78,8.33,0.59,7.2,15.76,"Alabama"
"2016","January-March",21.89,0.33,-0.28,5.11,10.46,"Alabama"
"2016","April-June",32.78,10.72,-0.75,3.87666666666667,21.67,"Alabama"
"2016","July-September",33.78,19.06,-2.01,3.52333333333333,27.07,"Alabama"
"2016","October-December",28.5,4.22,-3.72666666666667,2.49333333333333,14.89,"Alabama"
"2017","January-March",21.5,5.56,-2.75333333333333,5.68,13.04,"Alabama"
"2017","April-June",29.39,12.22,0.32,7.26666666666667,21.65,"Alabama"
"2017","July-September",32.61,16.89,3.08666666666667,4.79333333333333,25.33,"Alabama"
"2017","October-December",25.11,2.78,2.84,3.65666666666667,13.39,"Alabama"
"2018","January-March",20.06,-1.67,1.00666666666667,4.57666666666667,10.7,"Alabama"
"2018","April-June",32.11,7.89,1.01333333333333,5.34666666666667,21.7,"Alabama"
"2018","July-September",32.56,20.78,0.83,5.23333333333333,26.59,"Alabama"
"2018","October-December",25.67,4.44,1.86666666666667,6.31,13.11,"Alabama"
"2019","January-March",19.33,2.5,1.59,5.20666666666667,11.41,"Alabama"
"2019","April-June",31.56,10.44,-0.58,4.76666666666667,22.19,"Alabama"
"2019","July-September",34.17,19.44,-1.52333333333333,3.14,26.93,"Alabama"
"2019","October-December",25.94,3.06,1.05,5.65333333333333,13.65,"Alabama"
"2020","January-March",23.28,4,2.34333333333333,7.99666666666667,12.59,"Alabama"
"2020","April-June",30.61,9.67,2.52666666666667,5.3,20.7,"Alabama"
"2020","July-September",32.61,18.33,2.6,5.69333333333333,25.81,"Alabama"
"2020","October-December",25.56,1,2.92,3.9,13.93,"Alabama"
"2021","January-March",21.94,2.11,1.39666666666667,5.33,10.54,"Alabama"
"2021","April-June",30.39,9.22,1.99666666666667,6.32333333333333,20.72,"Alabama"
"2021","July-September",31.83,17.89,4.18666666666667,6.58333333333333,25.43,"Alabama"
"2021","October-December",25.44,3.78,3.85666666666667,3.48,14.91,"Alabama"
"2022","January-March",21.78,0,2.49,5.88,10.31,"Alabama"
"2022","April-June",33.22,9.78,1.98333333333333,4.62,22.3,"Alabama"
"2015","January-March",-4,-17.33,-2.12333333333333,2.42333333333333,-11.19,"Alaska"
"2015","April-June",16.56,-6.67,-0.696666666666667,2.20666666666667,5.43,"Alaska"
"2015","July-September",16.83,0.44,0.293333333333333,5.00333333333333,8.59,"Alaska"
"2015","October-December",2.67,-16.5,0.136666666666667,3.73333333333333,-7.2,"Alaska"
"2016","January-March",-2.94,-12,-1.12333333333333,2.48,-7.93,"Alaska"
"2016","April-June",16.06,-4.06,-2.47,2.55333333333333,6.13,"Alaska"
"2016","July-September",17.39,1.61,-2.47666666666667,5.09,10.2,"Alaska"
"2016","October-December",2.94,-17.72,-2.15333333333333,2.23333333333333,-8.67,"Alaska"
"2017","January-March",-9.33,-20.83,-0.923333333333333,2.14333333333333,-14.81,"Alaska"
"2017","April-June",15.72,-6.22,-1.61,1.91666666666667,4.78,"Alaska"
"2017","July-September",18,2.28,-1.21333333333333,4.92,9.81,"Alaska"
"2017","October-December",2,-12.5,-3.12333333333333,3.70666666666667,-5.72,"Alaska"
"2018","January-March",-3.28,-17.5,-4.18,2.18333333333333,-10.87,"Alaska"
"2018","April-June",14.67,-7.39,-5.57666666666667,2.69,3.74,"Alaska"
"2018","July-September",17.89,2.5,-4.59666666666667,3.95666666666667,9.91,"Alaska"
"2018","October-December",4.44,-16,0.983333333333333,3.80333333333333,-6.3,"Alaska"
"2019","January-March",1,-17.22,1.34,2.41,-8.61,"Alaska"
"2019","April-June",17.5,-6.67,1.82333333333333,2.03333333333333,5.46,"Alaska"
"2019","July-September",19.28,3.06,-1.38,3.90333333333333,10.74,"Alaska"
"2019","October-December",2.56,-17.33,0.426666666666667,4.32,-7.17,"Alaska"
"2020","January-March",-6.22,-24.78,1.40666666666667,2.39333333333333,-16.46,"Alaska"
"2020","April-June",14.94,-6.94,1.24666666666667,2.46666666666667,4.69,"Alaska"
"2020","July-September",16.11,1.94,-2.39,3.95,9.5,"Alaska"
"2020","October-December",1.61,-15.22,-4.13,3.83666666666667,-7.78,"Alaska"
"2021","January-March",-7.56,-21.44,-4.10666666666667,2.69,-13.94,"Alaska"
"2021","April-June",15.22,-9.94,-5.17333333333333,2.32333333333333,3.56,"Alaska"
"2021","July-September",16.28,0.28,-3.15,4.42,8.65,"Alaska"
"2021","October-December",0.67,-18.56,-2.93,3.75666666666667,-10.52,"Alaska"
"2022","January-March",-4.17,-19.33,-3.29333333333333,3.51333333333333,-12.46,"Alaska"
"2022","April-June",17.17,-9.06,-4.58,1.16333333333333,4.02,"Alaska"
"2015","January-March",21.44,0.67,-2.12333333333333,1.18333333333333,10.63,"Arizona"
"2015","April-June",34.5,6.17,-0.696666666666667,0.74,19.2,"Arizona"
"2015","July-September",34.56,16.44,0.293333333333333,1.79333333333333,25.59,"Arizona"
"2015","October-December",25,-2.17,0.136666666666667,1.08,10.69,"Arizona"
"2016","January-March",21.33,-1.39,-1.12333333333333,0.6,9.5,"Arizona"
"2016","April-June",35.83,6.56,-2.47,0.583333333333333,19.89,"Arizona"
"2016","July-September",36,14.33,-2.47666666666667,1.77,25.09,"Arizona"
"2016","October-December",27.22,0.44,-2.15333333333333,1.14,12.57,"Arizona"
"2017","January-March",22.28,0.11,-0.923333333333333,1.24666666666667,9.69,"Arizona"
"2017","April-June",36.11,6.67,-1.61,0.22,20.33,"Arizona"
"2017","July-September",34.94,14.39,-1.21333333333333,1.63,25.37,"Arizona"
"2017","October-December",27.39,0.06,-3.12333333333333,0.06,13.57,"Arizona"
"2018","January-March",19.11,0.61,-4.18,0.69,9.37,"Arizona"
"2018","April-June",35.28,8.28,-5.57666666666667,0.173333333333333,21.11,"Arizona"
"2018","July-September",35.67,16.17,-4.59666666666667,1.8,26.39,"Arizona"
