Column name as written in R Script,Full State name,State abbreviation,Survey Year,Season,"Method of tallying multi-states operations (included in all states, excluded from all states, exlusively multi-states)",Number of valid respondents,Bootstrap replication,Bootstrap method,Bootstrap estimate of the Total Loss (weigthed average),Boostrap-based 95% confidence interval(low) of the weighted average loss,Boostrap-based 95% confidence interval(high) of the weighted average loss,Bootstrap estimate of the Average Loss (unweigthed average),Boostrap-based 95% confidence interval(low) of the unweighted average loss,Boostrap-based 95% confidence interval(high) of the unweighted average loss,Total Loss (weigthed average),glm-based 95% confidence interval(low) of the weighted average loss,glm-based 95% confidence interval(high) of the weighted average loss,Average Loss (unweigthed average),standard deviation of operational losses,standard error of the unweithed average estimate,glm-based 95% confidence interval(low) of the unweighted average loss,glm-based 95% confidence interval(high) of the unweighted average loss,Total number of colonies at the start of the season,"Total number of colonies ""at risk"" (colonies at the start, new colonies added, without colonies sold or given away)",Total number of colonies lost during the season,Total number of colonies alive at the end of the season,Percentage of beekeepers exlusive to the state,Percentage of colonies exclusive to the state
State,state,initials,SurveyYear,Season,Method,N,b.rep,b.method,TL.b.mean,TL.b.025perc,TL.b.975perc,AL.b.mean,AL.b.025perc,AL.b.975perc,TL,ToL.CIglm2.5,ToL.CIglm97.5,AL,AvL.sd,AvL.se,AvL.CI2.5,AvL.CI97.5,TotalColStart,TotalColAtRisk,TotalColLost,TotalColAlive,PtBkExclusiveToState,PColExclusiveToState
TF_States_AL,Alabama,AL,2008,Annual,MSO in,0,1000,n-out-of-n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL
TF_States_AK,Alaska,AK,2008,Annual,MSO in,0,1000,n-out-of-n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL
TF_States_AZ,Arizona,AZ,2008,Annual,MSO in,0,1000,n-out-of-n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL
TF_States_AR,Arkansas,AR,2008,Annual,MSO in,0,1000,n-out-of-n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL
TF_States_CA,California,CA,2008,Annual,MSO in,0,1000,n-out-of-n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL
TF_States_CO,Colorado,CO,2008,Annual,MSO in,0,1000,n-out-of-n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL
TF_States_CT,Connecticut,CT,2008,Annual,MSO in,0,1000,n-out-of-n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL
TF_States_DC,District of Columbia,DC,2008,Annual,MSO in,0,1000,n-out-of-n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL
TF_States_DE,Delaware,DE,2008,Annual,MSO in,0,1000,n-out-of-n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL
