"year","months","state","colony_n","colony_max","colony_lost","colony_lost_pct","colony_added","colony_reno","colony_reno_pct","Varroa.mites","Other.pests.parasites","Disesases","Pesticides","Other","Unknown"
2015,"January-March","Alabama",7000,7000,1800,26,2800,250,4,700,378,0,154,637,658
2015,"January-March","Arizona",35000,35000,4600,13,3400,2100,6,9415,7175,35,0,630,1085
2015,"January-March","Arkansas",13000,14000,1500,11,1200,90,1,2464,1596,210,476,140,140
2015,"January-March","California",1440000,1690000,255000,15,250000,124000,7,417430,121680,50700,126750,109850,47320
2015,"January-March","Colorado",3500,12500,1500,12,200,140,1,1825,112.5,225,75,325,737.5
2015,"January-March","Connecticut",3900,3900,870,22,290,0,0,97.5,54.6,0,0,826.8,93.6
2015,"January-March","Florida",305000,315000,42000,13,54000,25000,8,70245,42525,2520,28035,16065,13860
2015,"January-March","Georgia",104000,105000,14500,14,47000,9500,9,6510,5145,3465,2730,5040,11025
2015,"January-March","Hawaii",10500,10500,380,4,3400,760,7,4074,3958.5,168,0,210,0
2015,"January-March","Idaho",81000,88000,3700,4,2600,8000,9,35024,5896,11000,4224,7832,4312
2015,"January-March","Illinois",6000,10500,4200,40,2300,390,4,1291.5,724.5,73.5,42,1323,1218
2015,"January-March","Indiana",9000,9500,2100,22,490,120,1,1966.5,28.5,19,28.5,2118.5,1111.5
2015,"January-March","Iowa",12500,17500,3100,18,1700,270,2,4550,122.5,805,595,3150,595
2015,"January-March","Kansas",4600,7000,1600,23,450,70,1,2289,91,77,994,665,238
2015,"January-March","Kentucky",7500,10500,4100,39,250,0,0,1134,1123.5,262.5,262.5,2383.5,1354.5
2015,"January-March","Louisiana",51000,51000,8000,16,3100,6500,13,8772,2397,2193,867,1581,1071
2015,"January-March","Maine",3100,6500,380,6,20,0,0,286,6.5,0,0,487.5,123.5
2015,"January-March","Maryland",7500,10000,4100,41,1600,870,9,1010,180,40,0,2420,1240
2015,"January-March","Massachusetts",2900,4600,1000,22,260,120,3,1081,161,96.6,128.8,349.6,216.2
2015,"January-March","Michigan",16500,60000,11500,19,7500,2400,4,8580,1860,660,960,4980,2760
2015,"January-March","Minnesota",28000,74000,3700,5,690,530,1,1036,74,0,74,1184,1554
2015,"January-March","Mississippi",34000,76000,8500,11,22000,7500,10,7144,6232,76,1596,912,836
2015,"January-March","Missouri",12000,13000,2000,15,220,910,7,1703,780,286,546,1534,819
2015,"January-March","Montana",8500,36000,2200,6,1400,1100,3,3132,180,216,288,828,2844
2015,"January-March","Nebraska",10000,31000,2600,8,120,310,1,1829,31,31,155,93,930
2015,"January-March","New Jersey",6000,9000,1100,12,570,1600,18,3609,1188,2736,999,1755,1503
2015,"January-March","New Mexico",7000,7000,690,10,190,600,9,1197,7,0,14,91,28
2015,"January-March","New York",27000,30000,6500,22,430,950,3,2280,780,150,1320,3720,2490
