"","Year","Period","State","State.ANSI","colony_added","colony_max","colony_cd_loss","colony_loss","colony_loss_pct","Disesases","Other","Pesticides","Pests.excl.Varroa.mites","Unknown","Varroa.mites","colony_reno_pct"
"1",2022,"APR THRU JUN","ALABAMA",1,"4,600","12,000","270","1,300","11","1","17.9","6.9","14.3","3.7","36","16"
"2",2022,"APR THRU JUN","ARIZONA",4,"17,500","32,000","820","3,100","10","1.3","4.8","0","(Z)","(Z)","8.4","9"
"3",2022,"APR THRU JUN","ARKANSAS",5,"5,000","22,000","380","2,800","13","2","6.5","11.2","14.4","3.8","22.2","5"
"4",2022,"APR THRU JUN","CALIFORNIA",6,"154,000","1,030,000","6,000","82,000","8","4.8","19.8","6.7","16","3.7","41.1","12"
"5",2022,"APR THRU JUN","COLORADO",8,"7,500","19,500","60","1,400","7","0.6","16.6","(Z)","0","(Z)","27","12"
"6",2022,"APR THRU JUN","CONNECTICUT",9,"130","4,100","0","30","1",NA,"1.1",NA,NA,NA,"1.9","1"
"7",2022,"APR THRU JUN","FLORIDA",12,"40,000","300,000","5,500","34,000","11","5.9","12.7","8.5","15.8","6.5","28.4","13"
"8",2022,"APR THRU JUN","GEORGIA",13,"27,000","134,000","4,900","25,000","19","1.4","8.1","5.9","8.8","5.6","35","35"
"9",2022,"APR THRU JUN","HAWAII",15,"2,200","22,000","130","420","2","4.6","0.5","0","61.2","(Z)","63.1","10"
"10",2022,"APR THRU JUN","IDAHO",16,"35,000","111,000","2,800","14,500","13","5.6","9.5","13.7","13.1","3.5","32.6","8"
"11",2022,"APR THRU JUN","ILLINOIS",17,"4,300","9,500","110","1,100","12","3.2","7.3","1.6","7.4","10.6","18.3","22"
"12",2022,"APR THRU JUN","INDIANA",18,"5,500","10,000","0","1,600","16","0.5","6.7","3.9","4.6","4.3","25.9","6"
"13",2022,"APR THRU JUN","IOWA",19,"5,000","28,000","100","2,300","8","1.6","4.6","0.9","1.1","8.2","49.3","9"
"14",2022,"APR THRU JUN","KANSAS",20,"6,000","4,900","400","650","13","1.7","23","16.1","1","1.9","41.6","12"
"15",2022,"APR THRU JUN","KENTUCKY",21,"3,600","10,500","80","610","6","10.7","2.5","2.4","15.1","12.9","39.9","4"
"16",2022,"APR THRU JUN","LOUISIANA",22,"8,500","43,000","960","1,900","4","4.6","2.3","4.6","9.5","2.4","30.6","27"
"17",2022,"APR THRU JUN","MAINE",23,"1,300","19,000","100","890","5","(Z)","(Z)","0","0","(Z)","(Z)","2"
"18",2022,"APR THRU JUN","MARYLAND",24,"1,600","8,500","150","390","5","2.4","14.7","0.8","7.9","1.7","15","13"
"19",2022,"APR THRU JUN","MASSACHUSETTS",25,"1,200","14,000","40","290","2","0.9","0.6","(Z)","0.9","(Z)","3.7","7"
"20",2022,"APR THRU JUN","MICHIGAN",26,"13,000","90,000","3,000","3,200","4","3","2.7","6.9","(Z)","(Z)","10.4","4"
"21",2022,"APR THRU JUN","MINNESOTA",27,"6,000","110,000","410","1,500","1","(Z)","2.6","(Z)","0.7","(Z)","4.9","2"
"22",2022,"APR THRU JUN","MISSISSIPPI",28,"16,000","47,000","570","4,000","9","(Z)","15.2","0.7","15.3","8.9","25.4","15"
"23",2022,"APR THRU JUN","MISSOURI",29,"6,000","10,500","110","1,500","14","0.9","2.8","0.5","3.1","1.2","11.5","46"
"24",2022,"APR THRU JUN","MONTANA",30,"5,500","102,000","4,300","970","1","0","8.8","1.8","0","0","9.2","8"
"25",2022,"APR THRU JUN","NEBRASKA",31,"8,000","45,000","10","2,400","5","0.8","0.6","0","22.1","(Z)","26.6","11"
"26",2022,"APR THRU JUN","NEW JERSEY",34,"2,600","19,000","0","140","1","0.7","(Z)","0.6","0.8","0","7","(Z)"
"27",2022,"APR THRU JUN","NEW MEXICO",35,"4,200","7,000","340","1,600","23","8.6","1.5","0.9","8.6","0.7","52","31"
"28",2022,"APR THRU JUN","NEW YORK",36,"6,000","53,000","470","2,000","4","0.8","1.7","(Z)","3.4","1","23.2","8"
"29",2022,"APR THRU JUN","NORTH CAROLINA",37,"7,500","30,000","50","1,200","4","3.5","(Z)","0","2.8","1","23.9","11"
"30",2022,"APR THRU JUN","NORTH DAKOTA",38,"12,000","455,000","7,000","16,500","4","0.9","9.7","4.7","22.4","0.5","38.7","2"
"31",2022,"APR THRU JUN","OHIO",39,"4,300","14,500","140","400","3","5.1","2.3","3.3","5.6","2.1","51.2","8"
"32",2022,"APR THRU JUN","OKLAHOMA",40,"10,500","20,000","30","1,100","6","0","7.8","1.4","2.6","0.7","8.4","11"
"33",2022,"APR THRU JUN","OREGON",41,"12,500","96,000","2,800","4,200","4","9.5","17.5","16.1","23.2","(Z)","49.3","20"
"34",2022,"APR THRU JUN","OTHER STATES",NA,"900","4,690",NA,"120","3","4.5","3","2.1","3.8","4.1","7.9","9"
"35",2022,"APR THRU JUN","PENNSYLVANIA",42,"7,000","24,000","590","730","3","0.6","1.1","(Z)","3.3","2.1","19","10"
"36",2022,"APR THRU JUN","SOUTH CAROLINA",45,"3,500","23,000","100","2,500","11","(Z)","1.2","12.8","13.2","0.9","29.9","14"
"37",2022,"APR THRU JUN","SOUTH DAKOTA",46,"2,100","184,000","150","4,100","2","0","12.9","2.5","29.3","1.2","44.5","10"
"38",2022,"APR THRU JUN","TENNESSEE",47,"9,000","11,500","220","4,400","38","1","14.4","(Z)","23.7","1.7","30.9","10"
"39",2022,"APR THRU JUN","TEXAS",48,"83,000","415,000","3,000","41,000","10","(Z)","5.2","0.7","30","0.9","39.2","27"
"40",2022,"APR THRU JUN","UTAH",49,"8,500","29,000","2,200","4,300","15","6.9","13.8","7.9","0.8","8.3","40.1","17"
"41",2022,"APR THRU JUN","VERMONT",50,"3,300","8,500","280","150","2","0","1.3","0.7","1.5","(Z)","21.2","2"
"42",2022,"APR THRU JUN","VIRGINIA",51,"2,900","10,500","100","580","6","0.9","18.1","0.6","21.7","1.7","30.8","6"
"43",2022,"APR THRU JUN","WASHINGTON",53,"12,500","109,000","2,000","6,000","6","4.3","14.2","3.4","7.3","1.6","50.8","21"
