"state","temp_min","temp_max","temp_avg","prec","pdsi","multi_all_ward","multi_all_avg","multi_nopdsi_ward","multi_nopdsi_avg"
"Alabama","1","1","3","3","1","1","1","1","1"
"Alaska","2","3","1","1",NA,"2","2","2","2"
"Arizona","1","1","3","2","3","3","3","3","1"
"Arkansas","1","1","3","1","2","1","1","4","3"
"California","1","1","3","1","3","3","3","3","1"
"Colorado","3","1","2","1","3","2","3","2","3"
"Connecticut","1","1","2","1","1","4","4","4","3"
"Delaware","1","1","2","3","1","4","4","4","3"
"Florida","1","1","3","1","3","1","1","1","1"
"Georgia","1","1","3","3","1","1","1","1","1"
"Idaho","2","2","1","1","3","2","3","2","3"
"Illinois","1","1","2","1","2","4","4","4","3"
"Indiana","1","1","2","1","2","4","4","4","3"
"Iowa","3","2","1","1","2","2","4","2","3"
"Kansas","1","1","2","1","2","1","4","4","3"
"Kentucky","1","1","2","1","2","4","4","4","3"
"Louisiana","1","1","3","1","2","1","1","1","1"
"Maine","3","3","1","1","1","2","4","2","3"
"Maryland","1","1","2","3","2","4","4","4","3"
"Massachusetts","1","1","2","1","1","4","4","4","3"
"Michigan","3","3","1","1","2","2","4","2","3"
"Minnesota","3","2","1","1","2","2","4","2","3"
"Mississippi","1","1","3","1","2","1","1","1","1"
"Missouri","1","1","2","1","2","4","4","4","3"
"Montana","2","2","1","1","3","2","3","2","3"
"Nebraska","3","2","2","1","2","2","4","2","3"
"Nevada","1","1","2","1","3","3","3","3","3"
"New Hampshire","3","3","1","1","1","2","4","2","3"
"New Jersey","1","1","2","1","1","4","4","4","3"
"New Mexico","1","1","2","2","3","3","3","3","3"
"New York","3","3","1","1","1","2","4","2","3"
"North Carolina","1","1","3","3","1","1","1","4","3"
"North Dakota","2","2","1","1","1","2","3","2","3"
"Ohio","1","1","2","1","2","4","4","4","3"
"Oklahoma","1","1","3","1","2","1","4","4","1"
"Oregon","1","1","2","1","3","4","3","4","3"
"Pennsylvania","1","1","2","1","2","4","4","4","3"
"Rhode Island","1","1","2","1","1","4","4","4","3"
"South Carolina","1","1","3","3","1","1","1","1","1"
"South Dakota","3","2","1","1","2","2","4","2","3"
"Tennessee","1","1","3","1","2","4","4","4","3"
"Texas","1","1","3","1","3","1","1","3","1"
"Utah","3","1","2","1","3","3","3","3","3"
"Vermont","3","3","1","1","1","2","4","2","3"
"Virginia","1","1","2","3","2","4","4","4","3"
"Washington","1","2","2","1","3","4","4","4","3"
"West Virginia","1","1","2","3","2","4","4","4","3"
"Wisconsin","3","3","1","1","2","2","4","2","3"
"Wyoming","2","2","1","3","3","2","3","2","3"
