"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Aberdeen, SD","10100",2022,177,174,3,0,0,0,0,66,33,18,0,0,0,96,81
"Aberdeen, WA","10140",2022,212,211,1,0,0,0,0,63,23,14,0,0,0,212,0
"Ada, OK","10220",2022,61,50,11,0,0,0,0,90,58,44,0,0,45,16,0
"Adrian, MI","10300",2022,181,146,35,0,0,0,0,97,62,39,0,0,104,77,0
"Akron, OH","10420",2022,253,191,58,3,1,0,0,159,66,43,0,0,162,91,0
"Albany, GA","10500",2022,241,166,70,4,1,0,0,151,61,36,0,0,0,241,0
"Albany, OR","10540",2022,181,162,19,0,0,0,0,70,52,20,0,0,0,181,0
"Albany-Schenectady-Troy, NY","10580",2022,273,239,34,0,0,0,0,87,52,39,0,0,214,59,0
"Albuquerque, NM","10740",2022,273,105,160,6,1,0,1,331,84,54,0,0,195,32,46
"Alexandria, LA","10780",2022,60,51,8,1,0,0,0,105,53,30,0,0,0,60,0
"Allentown-Bethlehem-Easton, PA-NJ","10900",2022,304,244,60,0,0,0,0,93,58,39,0,48,176,76,4
"Altoona, PA","11020",2022,219,177,42,0,0,0,0,97,54,40,0,0,89,130,0
"Amarillo, TX","11100",2022,243,159,80,4,0,0,0,122,80,47,0,0,212,31,0
"Americus, GA","11140",2022,207,194,13,0,0,0,0,93,47,34,0,0,207,0,0
"Anchorage, AK","11260",2022,244,206,37,1,0,0,0,125,59,23,1,0,0,117,126
"Ann Arbor, MI","11460",2022,237,195,41,1,0,0,0,101,61,40,0,0,188,49,0
"Appleton, WI","11540",2022,273,238,34,1,0,0,0,122,53,38,0,0,140,133,0
"Ardmore, OK","11620",2022,273,181,85,7,0,0,0,150,77,45,0,0,180,93,0
"Arkadelphia, AR","11660",2022,241,232,9,0,0,0,0,90,45,36,0,0,241,0,0
"Asheville, NC","11700",2022,273,227,45,1,0,0,0,108,58,43,0,0,205,68,0
"Ashtabula, OH","11780",2022,178,152,21,5,0,0,0,133,58,40,0,0,178,0,0
"Athens, OH","11900",2022,80,77,3,0,0,0,0,63,40,23,0,0,0,80,0
"Athens, TN","11940",2022,174,152,22,0,0,0,0,70,53,30,0,0,0,174,0
"Athens-Clarke County, GA","12020",2022,243,183,60,0,0,0,0,87,60,44,0,0,131,112,0
"Atlanta-Sandy Springs-Roswell, GA","12060",2022,274,153,113,7,1,0,0,169,71,48,1,7,145,121,0
"Atlantic City-Hammonton, NJ","12100",2022,269,257,11,0,1,0,0,176,46,34,0,0,231,38,0
"Augusta-Richmond County, GA-SC","12260",2022,273,207,66,0,0,0,0,99,59,42,0,0,159,114,0
"Augusta-Waterville, ME","12300",2022,184,180,4,0,0,0,0,84,44,31,0,0,167,17,0
"Austin-Round Rock, TX","12420",2022,244,161,81,2,0,0,0,115,73,45,1,6,124,113,0
"Bakersfield, CA","12540",2022,210,81,106,21,2,0,0,152,107,57,0,0,102,92,16
"Baltimore-Columbia-Towson, MD","12580",2022,273,189,82,2,0,0,0,122,71,45,0,6,208,59,0
"Bangor, ME","12620",2022,272,258,14,0,0,0,0,87,46,33,0,0,194,76,2
"Baraboo, WI","12660",2022,273,240,33,0,0,0,0,76,52,37,0,0,153,120,0
"Barnstable Town, MA","12700",2022,177,171,6,0,0,0,0,74,44,38,0,0,177,0,0
"Baton Rouge, LA","12940",2022,273,163,100,10,0,0,0,141,80,46,0,0,165,108,0
"Bay City, MI","13020",2022,181,170,11,0,0,0,0,68,40,19,0,0,0,181,0
"Beatrice, NE","13100",2022,165,156,9,0,0,0,0,78,43,20,0,0,0,165,0
"Beaumont-Port Arthur, TX","13140",2022,212,150,59,3,0,0,0,112,67,44,0,2,121,89,0
"Beaver Dam, WI","13180",2022,274,238,36,0,0,0,0,93,53,38,1,0,213,60,0
"Bellingham, WA","13380",2022,182,179,3,0,0,0,0,74,40,32,0,0,169,13,0
"Bemidji, MN","13420",2022,86,83,3,0,0,0,0,60,45,28,0,0,0,86,0
"Bend-Redmond, OR","13460",2022,181,171,9,0,1,0,0,153,32,13,0,0,0,181,0
"Bennington, VT","13540",2022,181,171,10,0,0,0,0,67,47,38,0,0,159,22,0
"Berlin, NH-VT","13620",2022,181,176,5,0,0,0,0,64,46,41,0,0,181,0,0
"Billings, MT","13740",2022,243,238,4,0,1,0,0,154,35,21,0,0,0,243,0
"Birmingham-Hoover, AL","13820",2022,182,89,90,3,0,0,0,105,74,51,1,0,67,114,0
"Bishop, CA","13860",2022,304,162,125,11,2,2,2,1445,85,50,0,0,177,94,33
"Bismarck, ND","13900",2022,244,212,32,0,0,0,0,87,52,39,1,1,177,63,2
"Blacksburg-Christiansburg-Radford, VA","13980",2022,239,211,28,0,0,0,0,100,51,40,0,0,239,0,0
"Bloomington, IL","14010",2022,273,211,60,2,0,0,0,129,60,42,0,0,161,112,0
"Bloomington, IN","14020",2022,239,195,42,2,0,0,0,101,61,40,0,0,157,82,0
"Boise City, ID","14260",2022,182,130,52,0,0,0,0,74,60,44,1,3,113,63,2
"Boston-Cambridge-Newton, MA-NH","14460",2022,182,146,36,0,0,0,0,90,57,44,1,5,118,58,0
"Boulder, CO","14500",2022,275,168,100,7,0,0,0,129,80,48,0,0,235,39,1
"Bowling Green, KY","14540",2022,213,176,37,0,0,0,0,84,55,42,2,0,160,51,0
"Bozeman, MT","14580",2022,243,233,10,0,0,0,0,73,38,23,0,2,0,241,0
"Brainerd, MN","14660",2022,181,172,9,0,0,0,0,67,45,38,0,0,115,66,0
"Bremerton-Silverdale, WA","14740",2022,207,202,5,0,0,0,0,55,36,19,0,0,0,207,0
"Bridgeport-Stamford-Norwalk, CT","14860",2022,181,129,48,4,0,0,0,140,62,44,0,7,106,68,0
"Brookings, SD","15100",2022,180,162,18,0,0,0,0,87,51,35,0,0,138,23,19
"Brownsville-Harlingen, TX","15180",2022,212,124,85,3,0,0,0,120,71,47,0,0,66,146,0
"Brunswick, GA","15260",2022,273,238,34,1,0,0,0,106,53,37,0,0,126,147,0
"Buffalo-Cheektowaga-Niagara Falls, NY","15380",2022,274,217,55,2,0,0,0,150,62,40,1,4,194,74,1
"Burlington-South Burlington, VT","15540",2022,182,166,16,0,0,0,0,89,49,42,1,0,151,30,0
"Butte-Silver Bow, MT","15580",2022,243,217,25,1,0,0,0,102,51,19,0,0,0,134,109
"Cadillac, MI","15620",2022,242,203,35,4,0,0,0,136,58,40,0,0,180,62,0
"Cambridge, MD","15700",2022,242,212,30,0,0,0,0,93,51,41,0,0,228,14,0
"Canton-Massillon, OH","15940",2022,243,179,62,2,0,0,0,136,65,44,0,0,139,104,0
"Cape Coral-Fort Myers, FL","15980",2022,181,154,27,0,0,0,0,80,54,41,0,0,132,49,0
"Carlsbad-Artesia, NM","16100",2022,212,111,80,21,0,0,0,150,100,49,0,0,212,0,0
"Carson City, NV","16180",2022,181,159,22,0,0,0,0,77,54,42,0,0,164,17,0
"Casper, WY","16220",2022,181,172,9,0,0,0,0,64,48,43,0,0,181,0,0
"Ca¤on City, CO","15860",2022,74,71,3,0,0,0,0,77,28,12,0,0,0,0,74
"Cedar City, UT","16260",2022,304,257,47,0,0,0,0,80,54,43,0,11,280,13,0
"Cedar Rapids, IA","16300",2022,304,231,73,0,0,0,0,79,56,42,0,0,161,143,0
"Centralia, WA","16500",2022,212,205,7,0,0,0,0,64,40,16,0,0,0,212,0
"Chambersburg-Waynesboro, PA","16540",2022,115,105,10,0,0,0,0,84,49,41,0,0,115,0,0
"Champaign-Urbana, IL","16580",2022,273,224,48,1,0,0,0,126,58,40,0,0,198,75,0
"Charleston, WV","16620",2022,175,144,31,0,0,0,0,90,57,41,2,0,101,72,0
"Charleston-North Charleston, SC","16700",2022,273,221,52,0,0,0,0,84,56,40,0,1,136,136,0
"Charlotte-Concord-Gastonia, NC-SC","16740",2022,274,182,89,3,0,0,0,119,74,47,1,0,201,72,0
"Charlottesville, VA","16820",2022,206,185,21,0,0,0,0,67,51,39,0,0,99,107,0
"Chattanooga, TN-GA","16860",2022,298,185,112,1,0,0,0,105,67,46,0,0,132,166,0
"Cheyenne, WY","16940",2022,182,163,19,0,0,0,0,74,51,43,1,0,168,11,2
"Chicago-Naperville-Elgin, IL-IN-WI","16980",2022,274,139,122,11,2,0,0,164,83,50,1,14,127,115,17
"Chico, CA","17020",2022,187,144,43,0,0,0,0,90,67,43,1,0,143,43,0
"Cincinnati, OH-KY-IN","17140",2022,274,134,134,5,1,0,0,151,77,51,1,9,119,139,6
"Claremont-Lebanon, NH-VT","17200",2022,181,175,6,0,0,0,0,80,46,37,0,0,158,23,0
"Clarksburg, WV","17220",2022,57,51,6,0,0,0,0,64,51,28,0,0,0,57,0
"Clarksville, TN-KY","17300",2022,181,137,44,0,0,0,0,85,62,43,0,0,108,73,0
"Clearlake, CA","17340",2022,15,15,0,0,0,0,0,33,23,16,0,0,0,14,1
"Cleveland, MS","17380",2022,273,226,47,0,0,0,0,92,55,39,0,0,147,126,0
"Cleveland-Elyria, OH","17460",2022,254,145,103,5,1,0,0,156,75,47,1,4,133,111,5
"Clinton, IA","17540",2022,303,206,96,1,0,0,0,107,64,42,0,0,129,174,0
"Coeur d'Alene, ID","17660",2022,181,179,2,0,0,0,0,57,25,10,0,0,0,181,0
"College Station-Bryan, TX","17780",2022,224,197,27,0,0,0,0,93,52,31,0,0,0,224,0
"Colorado Springs, CO","17820",2022,276,171,103,2,0,0,0,115,77,48,1,0,267,6,2
"Columbia, MO","17860",2022,122,116,6,0,0,0,0,67,49,40,0,0,122,0,0
"Columbia, SC","17900",2022,273,220,53,0,0,0,0,93,60,42,0,0,177,96,0
"Columbus, GA-AL","17980",2022,243,187,54,2,0,0,0,149,61,42,0,0,113,130,0
"Columbus, IN","18020",2022,211,174,36,1,0,0,0,105,61,41,0,0,178,33,0
"Columbus, OH","18140",2022,244,179,62,3,0,0,0,143,67,44,1,2,155,86,0
"Concord, NH","18180",2022,120,117,3,0,0,0,0,67,45,39,0,0,120,0,0
"Cookeville, TN","18260",2022,181,168,13,0,0,0,0,79,45,25,0,0,0,181,0
"Corning, NY","18500",2022,274,259,15,0,0,0,0,67,47,37,1,0,228,45,0
"Corpus Christi, TX","18580",2022,181,121,59,1,0,0,0,106,63,45,0,0,84,97,0
