,year,months,colony_n,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct,Varroa.mites,Disesases,Pesticides,Other.pests.parasites,Other,Unknown
0,2015,Q1,2824610.0,500020.0,18.0,546980.0,270530.0,10.0,25.2,3.1,7.4,8.6,6.9,4.3
1,2015,Q2,2849500.0,352860.0,12.0,661860.0,692850.0,24.0,43.4,4.9,16.6,19.5,11.6,3.5
2,2015,Q3,3132880.0,457100.0,15.0,172990.0,303070.0,10.0,41.2,8.0,15.2,17.6,8.8,4.8
3,2015,Q4,2874760.0,412380.0,14.0,117150.0,158790.0,6.0,37.0,5.2,9.5,11.4,7.3,6.9
4,2016,Q1,2619940.0,416100.0,16.0,571880.0,245060.0,9.0,34.6,6.2,10.9,12.6,6.9,5.4
5,2016,Q2,2801470.0,329820.0,12.0,736920.0,561160.0,20.0,53.4,9.5,12.4,16.3,12.3,4.1
6,2016,Q3,3181180.0,397290.0,12.0,217320.0,282130.0,9.0,46.1,6.7,15.1,15.6,9.3,4.5
7,2016,Q4,3032060.0,502350.0,17.0,124660.0,60390.0,2.0,46.6,8.3,9.4,16.9,10.1,6.4
8,2017,Q1,2641090.0,398650.0,15.0,478240.0,241210.0,9.0,42.2,7.0,8.9,15.5,7.2,7.4
9,2017,Q2,2694150.0,285590.0,11.0,613360.0,762550.0,28.0,40.9,4.6,12.3,10.9,7.0,4.9
10,2017,Q3,2994500.0,394810.0,13.0,284370.0,449550.0,15.0,45.5,4.8,10.9,15.0,11.6,4.9
11,2017,Q4,2849770.0,424860.0,15.0,204510.0,213990.0,8.0,55.3,9.4,15.0,18.9,11.1,7.6
12,2018,Q1,2635220.0,438030.0,17.0,511320.0,289200.0,11.0,40.7,4.3,10.3,12.7,8.7,7.1
13,2018,Q2,2665880.0,355270.0,13.0,676360.0,740350.0,28.0,56.4,11.6,13.3,19.4,14.7,9.3
14,2018,Q3,2958790.0,377120.0,13.0,263560.0,420780.0,14.0,53.8,6.4,15.7,15.2,13.9,4.7
15,2018,Q4,2868970.0,444730.0,16.0,219640.0,154560.0,5.0,50.5,10.4,13.8,20.3,8.4,6.5
16,2019,Q1,2671470.0,407700.0,15.0,247710.0,179500.0,7.0,45.6,7.1,13.6,14.8,9.0,5.2
17,2019,Q3,3175960.0,434700.0,14.0,252550.0,355330.0,11.0,44.1,8.5,13.6,13.4,11.9,4.5
18,2019,Q4,3018110.0,399510.0,13.0,233260.0,91000.0,3.0,45.7,5.4,10.9,15.0,8.6,5.3
19,2020,Q1,2876100.0,415110.0,14.0,511160.0,153390.0,5.0,25.5,4.4,5.0,8.0,5.6,5.4
20,2020,Q2,2972000.0,300990.0,10.0,536170.0,626870.0,21.0,43.1,5.5,6.2,12.5,11.2,5.4
21,2020,Q3,3175330.0,411490.0,13.0,348280.0,381620.0,12.0,55.7,6.1,21.7,12.8,13.8,4.1
22,2020,Q4,3135340.0,484920.0,15.0,271500.0,128990.0,4.0,48.6,6.8,8.0,11.0,4.1,6.3
23,2021,Q1,2903240.0,464640.0,16.0,417490.0,157600.0,5.0,33.0,2.3,6.4,8.9,6.7,3.4
24,2021,Q2,2829520.0,352280.0,12.0,665730.0,475750.0,17.0,50.7,5.2,12.4,12.8,10.0,3.9
25,2021,Q3,3173390.0,295660.0,9.0,194900.0,226820.0,7.0,38.0,5.5,9.2,11.6,9.3,4.5
26,2021,Q4,3091790.0,329110.0,11.0,93940.0,146520.0,5.0,33.6,3.9,5.6,10.6,5.4,4.7
27,2022,Q1,2875770.0,331780.0,12.0,367890.0,187180.0,7.0,33.7,2.5,5.8,8.4,4.5,4.2
28,2022,Q2,2921590.0,282630.0,10.0,589630.0,492410.0,17.0,45.2,3.9,6.7,21.2,15.1,3.5
