year,months,state,colony_n,colony_max,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct,Varroa.mites,Other.pests.parasites,Disesases,Pesticides,Other,Unknown,MaximumTemperature,MinimumTemperature,PalmerDroughtSeverityIndexPDSI,Precipitation,AverageTemperature
2015,Q1,alabama,7000.0,7000.0,1800.0,26,2800,250.0,4,10.0,5.4,0.0,2.2,9.1,9.4,20.44,-1.11,-0.87,4.22333333333333,8.65
2015,Q1,arizona,35000.0,35000.0,4600.0,13,3400,2100.0,6,26.9,20.5,0.1,0.0,1.8,3.1,21.44,0.67,-2.12333333333333,1.18333333333333,10.63
2015,Q1,arkansas,13000.0,14000.0,1500.0,11,1200,90.0,1,17.6,11.4,1.5,3.4,1.0,1.0,15.11,-3.28,-0.09,4.89666666666667,5.26
2015,Q1,california,1440000.0,1690000.0,255000.0,15,250000,124000.0,7,24.7,7.2,3.0,7.5,6.5,2.8,21.22,3.28,-5.12333333333333,1.43,11.61
2015,Q1,colorado,3500.0,12500.0,1500.0,12,200,140.0,1,14.6,0.9,1.8,0.6,2.6,5.9,12.72,-8.17,-0.423333333333333,0.953333333333333,1.09
2015,Q1,connecticut,3900.0,3900.0,870.0,22,290,0.0,0,2.5,1.4,0.0,0.0,21.2,2.4,4.94,-15.33,-1.30666666666667,2.84333333333333,-4.8
2015,Q1,florida,305000.0,315000.0,42000.0,13,54000,25000.0,8,22.3,13.5,0.8,8.9,5.1,4.4,26.78,7.39,0.386666666666667,2.69,16.41
2015,Q1,georgia,104000.0,105000.0,14500.0,14,47000,9500.0,9,6.2,4.9,3.3,2.6,4.8,10.5,21.17,-0.06,0.226666666666667,3.64666666666667,9.43
2015,Q1,hawaii,10500.0,10500.0,380.0,4,3400,760.0,7,38.8,37.7,1.6,0.0,2.0,0.0,,,,,
2015,Q1,idaho,81000.0,88000.0,3700.0,4,2600,8000.0,9,39.8,6.7,12.5,4.8,8.9,4.9,11.94,-6.28,-1.89,1.81,1.61
2015,Q1,illinois,6000.0,10500.0,4200.0,40,2300,390.0,4,12.3,6.9,0.7,0.4,12.6,11.6,9.39,-12.33,1.99333333333333,1.76,-2.33
2015,Q1,indiana,9000.0,9500.0,2100.0,22,490,120.0,1,20.7,0.3,0.2,0.3,22.3,11.7,8.56,-12.56,2.09333333333333,2.35,-2.63
2015,Q1,iowa,12500.0,17500.0,3100.0,18,1700,270.0,2,26.0,0.7,4.6,3.4,18.0,3.4,10.0,-15.17,2.38666666666667,0.73,-4.19
2015,Q1,kansas,4600.0,7000.0,1600.0,23,450,70.0,1,32.7,1.3,1.1,14.2,9.5,3.4,16.5,-7.56,-0.626666666666667,0.563333333333333,2.61
2015,Q1,kentucky,7500.0,10500.0,4100.0,39,250,0.0,0,10.8,10.7,2.5,2.5,22.7,12.9,13.28,-8.89,1.26,3.85666666666667,1.3
2015,Q1,louisiana,51000.0,51000.0,8000.0,16,3100,6500.0,13,17.2,4.7,4.3,1.7,3.1,2.1,21.39,2.5,-0.3,4.91333333333333,10.96
2015,Q1,maine,3100.0,6500.0,380.0,6,20,0.0,0,4.4,0.1,0.0,0.0,7.5,1.9,0.56,-21.0,-0.596666666666667,2.23,-10.65
2015,Q1,maryland,7500.0,10000.0,4100.0,41,1600,870.0,9,10.1,1.8,0.4,0.0,24.2,12.4,10.11,-9.28,-0.223333333333333,3.36,-0.11
2015,Q1,massachusetts,2900.0,4600.0,1000.0,22,260,120.0,3,23.5,3.5,2.1,2.8,7.6,4.7,4.22,-16.06,0.32,3.28666666666667,-5.61
2015,Q1,michigan,16500.0,60000.0,11500.0,19,7500,2400.0,4,14.3,3.1,1.1,1.6,8.3,4.6,4.06,-19.22,-0.78,1.04,-7.93
2015,Q1,minnesota,28000.0,74000.0,3700.0,5,690,530.0,1,1.4,0.1,0.0,0.1,1.6,2.1,5.56,-20.44,-1.87333333333333,0.52,-8.52
2015,Q1,mississippi,34000.0,76000.0,8500.0,11,22000,7500.0,10,9.4,8.2,0.1,2.1,1.2,1.1,19.94,-0.56,-0.253333333333333,5.06333333333333,8.78
2015,Q1,missouri,12000.0,13000.0,2000.0,15,220,910.0,7,13.1,6.0,2.2,4.2,11.8,6.3,13.44,-9.06,1.11,2.04333333333333,1.09
2015,Q1,montana,8500.0,36000.0,2200.0,6,1400,1100.0,3,8.7,0.5,0.6,0.8,2.3,7.9,11.44,-9.56,0.206666666666667,1.02333333333333,-0.91
2015,Q1,nebraska,10000.0,31000.0,2600.0,8,120,310.0,1,5.9,0.1,0.1,0.5,0.3,3.0,15.17,-10.28,1.61,0.376666666666667,0.04
2015,Q1,new jersey,6000.0,9000.0,1100.0,12,570,1600.0,18,40.1,13.2,30.4,11.1,19.5,16.7,7.67,-10.94,0.696666666666667,3.72,-1.83
2015,Q1,new mexico,7000.0,7000.0,690.0,10,190,600.0,9,17.1,0.1,0.0,0.2,1.3,0.4,17.06,-4.78,0.6,0.946666666666667,5.3
2015,Q1,new york,27000.0,30000.0,6500.0,22,430,950.0,3,7.6,2.6,0.5,4.4,12.4,8.3,2.11,-18.78,-0.876666666666667,1.98333333333333,-8.35
2015,Q1,north carolina,24000.0,26000.0,7000.0,27,6000,690.0,3,35.5,2.3,0.1,22.9,6.2,12.2,16.83,-4.39,0.316666666666667,3.62666666666667,5.37
2015,Q1,north dakota,57000.0,120000.0,620.0,1,1800,530.0,0,1.7,1.7,0.0,0.0,2.5,0.1,7.17,-19.33,-0.36,0.436666666666667,-7.15
2015,Q1,ohio,18000.0,22000.0,10500.0,48,5000,3300.0,15,10.7,1.6,1.0,3.0,17.8,3.1,7.67,-13.83,1.34,2.48333333333333,-3.41
2015,Q1,oklahoma,9500.0,26000.0,6000.0,23,2600,260.0,1,14.5,10.1,0.5,0.0,2.1,2.9,17.22,-3.72,-0.423333333333333,1.6,5.67
2015,Q1,oregon,77000.0,87000.0,6500.0,8,4300,2400.0,3,20.2,2.0,0.4,0.6,1.6,1.1,14.28,-1.17,-2.18333333333333,2.71666666666667,5.46
2015,Q1,other states,3410.0,8990.0,2080.0,23,870,150.0,2,0.8,0.1,0.0,0.1,0.9,0.0,,,,,
2015,Q1,pennsylvania,14000.0,21000.0,6500.0,31,360,0.0,0,28.1,6.3,1.9,1.9,17.8,6.3,5.61,-14.72,-0.87,2.38333333333333,-4.78
2015,Q1,south carolina,17000.0,17500.0,2700.0,15,2700,1400.0,8,10.5,2.3,0.2,0.3,3.6,2.9,19.94,-1.22,0.35,3.6,8.37
2015,Q1,south dakota,50000.0,97000.0,4600.0,5,8500,2800.0,3,1.2,0.9,0.3,0.5,1.2,1.8,12.28,-13.89,3.47,0.283333333333333,-2.74
2015,Q1,tennessee,9500.0,9500.0,2000.0,21,1000,190.0,2,22.2,17.1,0.0,0.0,13.0,4.4,15.67,-5.94,1.60666666666667,4.26,3.8
2015,Q1,texas,191000.0,250000.0,26000.0,10,82000,51000.0,20,21.5,12.2,5.0,11.1,2.3,6.2,19.67,0.72,0.91,2.41,9.7
2015,Q1,utah,6000.0,24000.0,3300.0,14,2500,290.0,1,13.6,0.9,0.1,4.4,3.0,0.5,14.61,-5.39,-2.82333333333333,0.8,3.69
2015,Q1,vermont,5500.0,5500.0,700.0,13,1200,20.0,0,2.3,5.6,0.0,0.0,5.8,4.9,0.78,-21.56,-0.7,1.97333333333333,-10.41
2015,Q1,virginia,8000.0,9000.0,2500.0,28,800,460.0,5,19.0,9.4,2.3,0.0,9.8,11.9,13.11,-7.78,0.0566666666666667,3.0,2.02
2015,Q1,washington,52000.0,105000.0,14000.0,13,13500,9000.0,9,21.5,0.5,0.3,3.6,6.0,1.1,12.78,-1.33,-0.853333333333333,4.52666666666667,4.56
2015,Q1,west virginia,4700.0,6000.0,1800.0,30,570,60.0,1,18.0,7.3,2.2,2.1,14.6,6.1,10.78,-11.0,0.376666666666667,3.50333333333333,-0.8
2015,Q1,wisconsin,16500.0,29000.0,8000.0,28,3100,2500.0,9,18.8,1.6,2.7,8.5,8.3,5.8,5.72,-19.28,1.79,0.56,-7.85
2015,Q1,wyoming,5500.0,12000.0,2000.0,17,2000,1400.0,12,0.9,0.0,0.0,0.0,0.7,0.0,10.72,-9.5,-0.496666666666667,0.713333333333333,-0.8
2015,Q2,alabama,7500.0,7500.0,860.0,12,1900,680.0,9,16.7,42.5,0.0,2.3,3.2,4.1,31.94,13.06,-0.75,4.91,22.33
2015,Q2,arizona,33000.0,33000.0,5500.0,17,19500,7000.0,21,8.4,32.1,0.5,20.1,28.2,0.3,34.5,6.17,-0.696666666666667,0.74,19.2
