state,year,months,colony_n,colony_end_computed,percentage end colonies,cumulative percentage
alabama,2019,Q4,6000.0,5580.0,-0.07,-0.2052
california,2016,Q4,770000.0,605000.0,-0.21428571428571427,-0.2887
california,2017,Q1,1170000.0,1112000.0,-0.04957264957264957,-0.3383
california,2017,Q2,980000.0,1050000.0,0.07142857142857142,-0.2669
california,2017,Q3,590000.0,596000.0,0.010169491525423728,-0.2567
california,2017,Q4,680000.0,615000.0,-0.09558823529411764,-0.3523
california,2018,Q1,1150000.0,1140000.0,-0.008695652173913044,-0.361
california,2018,Q2,1130000.0,1192000.0,0.05486725663716814,-0.3061
california,2018,Q3,590000.0,580000.0,-0.01694915254237288,-0.3231
california,2018,Q4,680000.0,596000.0,-0.12352941176470589,-0.4466
california,2019,Q1,1140000.0,988000.0,-0.13333333333333333,-0.5799
california,2019,Q3,650000.0,644000.0,-0.009230769230769232,-0.5892
california,2019,Q4,700000.0,724000.0,0.03428571428571429,-0.5549
california,2020,Q1,1350000.0,1360000.0,0.007407407407407408,-0.5475
california,2020,Q2,1200000.0,1275000.0,0.0625,-0.485
california,2020,Q3,640000.0,632000.0,-0.0125,-0.4975
california,2020,Q4,700000.0,656000.0,-0.06285714285714286,-0.5603
california,2021,Q1,1180000.0,1094000.0,-0.07288135593220339,-0.6332
california,2021,Q2,1090000.0,1141000.0,0.046788990825688076,-0.5864
california,2021,Q3,650000.0,672000.0,0.033846153846153845,-0.5526
california,2021,Q4,640000.0,605000.0,-0.0546875,-0.6073
california,2022,Q1,1020000.0,996000.0,-0.023529411764705882,-0.6308
california,2022,Q2,980000.0,1052000.0,0.07346938775510205,-0.5573
colorado,2015,Q1,3500.0,2200.0,-0.37142857142857144,-0.3714
idaho,2017,Q1,95000.0,88500.0,-0.06842105263157895,-0.2069
idaho,2019,Q4,111000.0,97300.0,-0.12342342342342343,-0.2793
idaho,2020,Q1,156000.0,141900.0,-0.09038461538461538,-0.3697
idaho,2020,Q2,48000.0,52000.0,0.08333333333333333,-0.2863
idaho,2020,Q4,94000.0,83000.0,-0.11702127659574468,-0.2962
idaho,2021,Q1,167000.0,163500.0,-0.020958083832335328,-0.3172
illinois,2015,Q1,6000.0,4100.0,-0.31666666666666665,-0.3167
kansas,2015,Q1,4600.0,3450.0,-0.25,-0.25
kansas,2015,Q4,8500.0,5150.0,-0.3941176470588235,-0.3891
kansas,2016,Q1,5000.0,5300.0,0.06,-0.3291
kansas,2016,Q4,5000.0,3900.0,-0.22,-0.4013
kansas,2017,Q1,3800.0,3730.0,-0.018421052631578946,-0.4197
kansas,2022,Q1,5000.0,4620.0,-0.076,-0.2044
kentucky,2015,Q1,7500.0,3650.0,-0.5133333333333333,-0.5133
kentucky,2015,Q3,10000.0,8870.0,-0.113,-0.277
kentucky,2015,Q4,8500.0,7420.0,-0.12705882352941175,-0.4041
kentucky,2016,Q1,6500.0,5590.0,-0.14,-0.5441
kentucky,2016,Q2,5500.0,7150.0,0.3,-0.2441
kentucky,2016,Q3,7500.0,7400.0,-0.013333333333333334,-0.2574
kentucky,2016,Q4,7500.0,6610.0,-0.11866666666666667,-0.3761
kentucky,2017,Q1,6500.0,6150.0,-0.05384615384615385,-0.4299
kentucky,2017,Q3,9000.0,7850.0,-0.12777777777777777,-0.2434
kentucky,2017,Q4,7500.0,6680.0,-0.10933333333333334,-0.3527
kentucky,2018,Q1,5500.0,5060.0,-0.08,-0.4327
kentucky,2018,Q2,5500.0,6090.0,0.10727272727272727,-0.3255
kentucky,2018,Q3,6500.0,5960.0,-0.08307692307692308,-0.4085
kentucky,2018,Q4,7000.0,5060.0,-0.27714285714285714,-0.6857
kentucky,2019,Q1,3700.0,2870.0,-0.22432432432432434,-0.91
kentucky,2019,Q3,8000.0,7850.0,-0.01875,-0.9288
kentucky,2019,Q4,8500.0,8280.0,-0.02588235294117647,-0.9546
kentucky,2020,Q1,7000.0,7200.0,0.02857142857142857,-0.9261
kentucky,2020,Q2,11000.0,14000.0,0.2727272727272727,-0.6533
kentucky,2020,Q3,11500.0,10900.0,-0.05217391304347826,-0.7055
kentucky,2020,Q4,11500.0,10780.0,-0.06260869565217392,-0.7681
kentucky,2021,Q1,11000.0,9900.0,-0.1,-0.8681
kentucky,2021,Q2,10000.0,11830.0,0.183,-0.6851
kentucky,2021,Q3,10500.0,10300.0,-0.01904761904761905,-0.7042
kentucky,2021,Q4,10500.0,9740.0,-0.07238095238095238,-0.7765
kentucky,2022,Q1,8500.0,7250.0,-0.14705882352941177,-0.9236
kentucky,2022,Q2,6500.0,9490.0,0.46,-0.4636
maine,2016,Q2,3600.0,-90.0,-1.025,-1.0599
maine,2016,Q3,5500.0,5320.0,-0.03272727272727273,-1.0926
maine,2016,Q4,3500.0,3220.0,-0.08,-1.1726
maine,2017,Q1,2700.0,1800.0,-0.3333333333333333,-1.5059
maine,2017,Q2,2200.0,2390.0,0.08636363636363636,-1.4195
maine,2017,Q3,5500.0,5310.0,-0.034545454545454546,-1.4541
maine,2017,Q4,5500.0,5660.0,0.02909090909090909,-1.425
maine,2018,Q1,1900.0,1510.0,-0.20526315789473684,-1.6303
maine,2018,Q2,2200.0,-470.0,-1.2136363636363636,-2.8439
maine,2018,Q3,12500.0,11670.0,-0.0664,-2.9103
maine,2018,Q4,12000.0,10810.0,-0.09916666666666667,-3.0095
maine,2019,Q1,7000.0,6540.0,-0.06571428571428571,-3.0752
maine,2019,Q3,11500.0,10860.0,-0.05565217391304348,-3.1308
maine,2019,Q4,11500.0,10840.0,-0.057391304347826085,-3.1882
maine,2020,Q1,1300.0,1600.0,0.23076923076923078,-2.9575
maine,2020,Q2,1600.0,1420.0,-0.1125,-3.07
maine,2020,Q3,9500.0,8700.0,-0.08421052631578947,-3.1542
maine,2020,Q4,9000.0,9080.0,0.008888888888888889,-3.1453
maine,2021,Q1,2900.0,2660.0,-0.08275862068965517,-3.228
maine,2021,Q2,2200.0,1530.0,-0.30454545454545456,-3.5326
maine,2021,Q3,10000.0,8980.0,-0.102,-3.6346
maine,2021,Q4,5500.0,4870.0,-0.11454545454545455,-3.7491
maine,2022,Q1,3100.0,3060.0,-0.012903225806451613,-3.762
maine,2022,Q2,7000.0,7410.0,0.05857142857142857,-3.7035
maryland,2015,Q1,7500.0,5000.0,-0.3333333333333333,-0.3333
massachusetts,2015,Q1,2900.0,2160.0,-0.25517241379310346,-0.2552
massachusetts,2017,Q1,3300.0,1920.0,-0.41818181818181815,-0.243
massachusetts,2019,Q1,3800.0,3180.0,-0.1631578947368421,-0.3608
massachusetts,2019,Q3,13500.0,13200.0,-0.022222222222222223,-0.383
massachusetts,2019,Q4,5000.0,3860.0,-0.228,-0.611
massachusetts,2020,Q1,3800.0,4430.0,0.16578947368421051,-0.4453
massachusetts,2020,Q2,4400.0,4640.0,0.05454545454545454,-0.3907
massachusetts,2020,Q3,11000.0,11510.0,0.046363636363636364,-0.3444
massachusetts,2020,Q4,10000.0,9880.0,-0.012,-0.3564
massachusetts,2021,Q1,5000.0,4050.0,-0.19,-0.5464
massachusetts,2021,Q2,3700.0,4890.0,0.3216216216216216,-0.2247
massachusetts,2021,Q4,10500.0,10230.0,-0.025714285714285714,-0.2043
massachusetts,2022,Q1,6000.0,5400.0,-0.1,-0.3043
michigan,2015,Q1,16500.0,12500.0,-0.24242424242424243,-0.2424
michigan,2015,Q3,89000.0,85300.0,-0.04157303370786517,-0.215
michigan,2015,Q4,67000.0,58210.0,-0.13119402985074627,-0.3462
michigan,2016,Q1,25000.0,22300.0,-0.108,-0.4542
michigan,2016,Q2,40000.0,46000.0,0.15,-0.3042
michigan,2016,Q3,108000.0,104000.0,-0.037037037037037035,-0.3413
michigan,2016,Q4,101000.0,88510.0,-0.12366336633663366,-0.4649
michigan,2017,Q1,29000.0,24600.0,-0.15172413793103448,-0.6167
michigan,2017,Q2,55000.0,67500.0,0.22727272727272727,-0.3894
michigan,2017,Q3,103000.0,89800.0,-0.12815533980582525,-0.5175
michigan,2017,Q4,88000.0,77490.0,-0.11943181818181818,-0.637
michigan,2018,Q1,16500.0,13500.0,-0.18181818181818182,-0.8188
michigan,2018,Q2,37000.0,52500.0,0.4189189189189189,-0.3999
michigan,2018,Q3,88000.0,83000.0,-0.056818181818181816,-0.4567
michigan,2018,Q4,77000.0,74900.0,-0.02727272727272727,-0.484
michigan,2019,Q1,24000.0,17500.0,-0.2708333333333333,-0.7548
michigan,2019,Q3,94000.0,86000.0,-0.0851063829787234,-0.8399
michigan,2019,Q4,84000.0,78320.0,-0.06761904761904762,-0.9075
michigan,2020,Q1,60000.0,63000.0,0.05,-0.8575
michigan,2020,Q2,64000.0,73500.0,0.1484375,-0.7091
michigan,2020,Q3,96000.0,99000.0,0.03125,-0.6778
michigan,2020,Q4,97000.0,88900.0,-0.08350515463917525,-0.7613
michigan,2021,Q1,78000.0,76820.0,-0.015128205128205128,-0.7765
michigan,2021,Q2,74000.0,80500.0,0.08783783783783784,-0.6886
michigan,2021,Q3,120000.0,119000.0,-0.008333333333333333,-0.697
michigan,2021,Q4,105000.0,99140.0,-0.05580952380952381,-0.7528
michigan,2022,Q1,66000.0,62900.0,-0.04696969696969697,-0.7997
michigan,2022,Q2,74000.0,83800.0,0.13243243243243244,-0.6673
minnesota,2015,Q3,133000.0,101640.0,-0.23578947368421052,-0.2377
minnesota,2015,Q4,104000.0,94600.0,-0.09038461538461538,-0.328
minnesota,2016,Q1,36000.0,36500.0,0.013888888888888888,-0.3142
minnesota,2016,Q4,113000.0,99500.0,-0.11946902654867257,-0.2133
minnesota,2017,Q1,27000.0,26800.0,-0.007407407407407408,-0.2207
minnesota,2019,Q4,97000.0,84900.0,-0.12474226804123711,-0.3065
minnesota,2020,Q1,21000.0,21380.0,0.018095238095238095,-0.2884
minnesota,2020,Q2,59000.0,55000.0,-0.06779661016949153,-0.3562
minnesota,2020,Q3,114000.0,105300.0,-0.07631578947368421,-0.4325
minnesota,2020,Q4,99000.0,90700.0,-0.08383838383838384,-0.5164
minnesota,2021,Q1,61000.0,59100.0,-0.03114754098360656,-0.5475
minnesota,2021,Q2,69000.0,92500.0,0.34057971014492755,-0.2069
minnesota,2021,Q3,106000.0,104000.0,-0.018867924528301886,-0.2258
minnesota,2021,Q4,100000.0,94400.0,-0.056,-0.2818
minnesota,2022,Q1,95000.0,99500.0,0.04736842105263158,-0.2344
nebraska,2015,Q1,10000.0,7520.0,-0.248,-0.248
nebraska,2016,Q4,37000.0,32890.0,-0.11108108108108108,-0.2419
nebraska,2017,Q1,7500.0,6870.0,-0.084,-0.3259
new jersey,2016,Q1,6000.0,5080.0,-0.15333333333333332,-0.2387
new jersey,2017,Q1,6000.0,5520.0,-0.08,-0.2268
new york,2015,Q1,27000.0,20930.0,-0.22481481481481483,-0.2248
new york,2017,Q1,32000.0,26520.0,-0.17125,-0.2393
north carolina,2019,Q4,17500.0,14540.0,-0.16914285714285715,-0.3269
north carolina,2020,Q1,15000.0,15100.0,0.006666666666666667,-0.3202
north carolina,2020,Q3,26000.0,22350.0,-0.14038461538461539,-0.2773
north carolina,2020,Q4,16500.0,14200.0,-0.1393939393939394,-0.4167
north carolina,2021,Q1,18000.0,15900.0,-0.11666666666666667,-0.5333
north carolina,2021,Q2,22000.0,26300.0,0.19545454545454546,-0.3379
north carolina,2021,Q3,23000.0,23800.0,0.034782608695652174,-0.3031
north carolina,2021,Q4,21000.0,19160.0,-0.08761904761904762,-0.3907
north carolina,2022,Q1,20000.0,20800.0,0.04,-0.3507
north dakota,2015,Q4,230000.0,197700.0,-0.14043478260869566,-0.2153
north dakota,2016,Q1,89000.0,85100.0,-0.043820224719101124,-0.2592
north dakota,2016,Q2,110000.0,106000.0,-0.03636363636363636,-0.2955
north dakota,2016,Q3,510000.0,464000.0,-0.09019607843137255,-0.3857
north dakota,2016,Q4,385000.0,354500.0,-0.07922077922077922,-0.4649
north dakota,2017,Q1,50000.0,50460.0,0.0092,-0.4557
north dakota,2017,Q2,115000.0,130000.0,0.13043478260869565,-0.3253
north dakota,2017,Q3,470000.0,446000.0,-0.05106382978723404,-0.3764
north dakota,2017,Q4,410000.0,394000.0,-0.03902439024390244,-0.4154
north dakota,2018,Q1,66000.0,65400.0,-0.00909090909090909,-0.4245
north dakota,2018,Q2,74000.0,74000.0,0.0,-0.4245
north dakota,2018,Q3,455000.0,419000.0,-0.07912087912087912,-0.5036
north dakota,2018,Q4,430000.0,408500.0,-0.05,-0.5536
north dakota,2019,Q1,92000.0,90900.0,-0.011956521739130435,-0.5656
north dakota,2019,Q3,530000.0,464000.0,-0.12452830188679245,-0.6901
north dakota,2019,Q4,420000.0,396000.0,-0.05714285714285714,-0.7472
north dakota,2020,Q1,53000.0,45500.0,-0.14150943396226415,-0.8888
north dakota,2020,Q2,67000.0,100000.0,0.4925373134328358,-0.3962
north dakota,2020,Q3,455000.0,459000.0,0.008791208791208791,-0.3874
north dakota,2020,Q4,445000.0,412500.0,-0.07303370786516854,-0.4605
north dakota,2021,Q1,51000.0,53520.0,0.04941176470588235,-0.411
north dakota,2021,Q2,42000.0,47500.0,0.13095238095238096,-0.2801
north dakota,2021,Q3,510000.0,450500.0,-0.11666666666666667,-0.3968
