"HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","Year","Period","State"
"12,000",2022,"FIRST OF APR","ALABAMA"
"31,000",2022,"FIRST OF APR","ARIZONA"
"19,000",2022,"FIRST OF APR","ARKANSAS"
"980,000",2022,"FIRST OF APR","CALIFORNIA"
"8,000",2022,"FIRST OF APR","COLORADO"
"4,100",2022,"FIRST OF APR","CONNECTICUT"
"290,000",2022,"FIRST OF APR","FLORIDA"
"132,000",2022,"FIRST OF APR","GEORGIA"
"22,000",2022,"FIRST OF APR","HAWAII"
"103,000",2022,"FIRST OF APR","IDAHO"
"9,000",2022,"FIRST OF APR","ILLINOIS"
"8,000",2022,"FIRST OF APR","INDIANA"
"27,000",2022,"FIRST OF APR","IOWA"
"4,600",2022,"FIRST OF APR","KANSAS"
"6,500",2022,"FIRST OF APR","KENTUCKY"
"43,000",2022,"FIRST OF APR","LOUISIANA"
"7,000",2022,"FIRST OF APR","MAINE"
"7,500",2022,"FIRST OF APR","MARYLAND"
"5,500",2022,"FIRST OF APR","MASSACHUSETTS"
"74,000",2022,"FIRST OF APR","MICHIGAN"
"102,000",2022,"FIRST OF APR","MINNESOTA"
"46,000",2022,"FIRST OF APR","MISSISSIPPI"
"10,500",2022,"FIRST OF APR","MISSOURI"
"38,000",2022,"FIRST OF APR","MONTANA"
"19,000",2022,"FIRST OF APR","NEBRASKA"
"16,000",2022,"FIRST OF APR","NEW JERSEY"
"7,000",2022,"FIRST OF APR","NEW MEXICO"
"35,000",2022,"FIRST OF APR","NEW YORK"
"25,000",2022,"FIRST OF APR","NORTH CAROLINA"
"90,000",2022,"FIRST OF APR","NORTH DAKOTA"
"14,500",2022,"FIRST OF APR","OHIO"
"12,500",2022,"FIRST OF APR","OKLAHOMA"
"94,000",2022,"FIRST OF APR","OREGON"
"4,390",2022,"FIRST OF APR","OTHER STATES"
"23,000",2022,"FIRST OF APR","PENNSYLVANIA"
"22,000",2022,"FIRST OF APR","SOUTH CAROLINA"
"13,500",2022,"FIRST OF APR","SOUTH DAKOTA"
"9,500",2022,"FIRST OF APR","TENNESSEE"
"345,000",2022,"FIRST OF APR","TEXAS"
"23,000",2022,"FIRST OF APR","UTAH"
"7,500",2022,"FIRST OF APR","VERMONT"
"9,000",2022,"FIRST OF APR","VIRGINIA"
"97,000",2022,"FIRST OF APR","WASHINGTON"
"5,000",2022,"FIRST OF APR","WEST VIRGINIA"
"52,000",2022,"FIRST OF APR","WISCONSIN"
"8,000",2022,"FIRST OF APR","WYOMING"
"8,000",2022,"FIRST OF JAN","ALABAMA"
"25,000",2022,"FIRST OF JAN","ARIZONA"
"18,500",2022,"FIRST OF JAN","ARKANSAS"
"1,020,000",2022,"FIRST OF JAN","CALIFORNIA"
