"","state","production","average_price","value_of_production","year"
"796","Alabama",168282.632,7.06,1188075.38192,"2015"
"797","Arizona",459942.288,3.84,1766178.38592,"2015"
"798","Arkansas",619153.08,4.08,2526144.5664,"2015"
"799","California",5660828.16,4.12,23322612.0192,"2015"
"800","Colorado",453138.408,4.22,1912244.08176,"2015"
"801","Florida",6667802.4,4.16,27738057.984,"2015"
"802","Georgia",2052957.392,4.38,8991953.37696,"2015"
"803","Hawaii",632760.84,4.58,2898044.6472,"2015"
"804","Idaho",1542212.8,4.06,6261383.968,"2015"
"805","Illinois",177808.064,8.22,1461582.28608,"2015"
"806","Indiana",140613.52,6.38,897114.2576,"2015"
"807","Iowa",682655.96,4.82,3290401.7272,"2015"
"808","Kansas",238135.8,4.76,1133526.408,"2015"
"809","Kentucky",106594.12,7.92,844225.4304,"2015"
"810","Louisiana",1828882.944,4.36,7973929.63584,"2015"
"811","Maine",170550.592,9.98,1702094.90816,"2015"
"812","Michigan",2600442.936,4.98,12950205.82128,"2015"
"813","Minnesota",3592448.64,4.12,14800888.3968,"2015"
"814","Mississippi",1016046.08,4.02,4084505.2416,"2015"
"815","Missouri",255825.888,7.26,1857295.94688,"2015"
"816","Montana",6466407.552,4.18,27029583.56736,"2015"
"817","Nebraska",1700970,4.08,6939957.6,"2015"
"818","NewJersey",163293.12,6.26,1022214.9312,"2015"
"819","NewYork",1496853.6,5.66,8472191.376,"2015"
"820","NorthCarolina",234053.472,6.98,1633693.23456,"2015"
"821","NorthDakota",19114366.88,3.98,76075180.1824,"2015"
"822","Ohio",415036.68,7.16,2971662.6288,"2015"
"823","Oregon",1288201.28,4.4,5668085.632,"2015"
"824","Pennsylvania",354708.944,5.82,2064406.05408,"2015"
"825","SouthCarolina",220445.712,7.94,1750338.95328,"2015"
"826","SouthDakota",11049501.12,4.16,45965924.6592,"2015"
"827","Tennessee",200034.072,7.52,1504256.22144,"2015"
"828","Texas",4104100.416,4.48,18386369.86368,"2015"
