"state","year","months","time","colony_n","colony_max","colony_lost","colony_lost_pct","colony_added","colony_reno","colony_reno_pct","Varroa.mites","Other.pests.parasites","Disesases","Pesticides","Other","Unknown","MaximumTemperature","MinimumTemperature","PalmerDroughtSeverityIndexPDSI","Precipitation","AverageTemperature","status","clusterMIN","clusterMAX","clusterAVG","clusterPREC","clusterPDSI"
"alabama",2019,"Q4",20,6000,6000,660,11,240,70,1,46.7,26.7,0.6,4.9,9,11.3,25.94,3.06,1.05,5.65333333333333,13.65,"Event","cluster1","cluster3","cluster2","cluster1","cluster3"
"arizona",2022,"Q2",30,31000,32000,3100,10,17500,2800,9,8.4,0,1.3,0,4.8,0,34.5,7,-4.58,0.24,20.76,"Censor","cluster1","cluster3","cluster2","cluster1","cluster1"
"arkansas",2022,"Q2",30,19000,22000,2800,13,5000,1100,5,22.2,14.4,2,11.2,6.5,3.8,31.78,9.22,0.533333333333333,5.45333333333333,20.93,"Censor","cluster1","cluster3","cluster2","cluster2","cluster2"
"california",2016,"Q4",8,770000,1330000,205000,15,40000,35000,3,41.9,13.7,8,9.1,9.6,3.5,22.22,1.06,1.39666666666667,3.49,11.24,"Event","cluster1","cluster3","cluster2","cluster3","cluster1"
"colorado",2022,"Q2",30,8000,19500,1400,7,7500,2300,12,27,0,0.6,0,16.6,0,26.22,-1.94,-5.39666666666667,1.25333333333333,12.09,"Censor","cluster2","cluster1","cluster3","cluster2","cluster1"
"connecticut",2022,"Q2",30,4100,4100,30,1,130,30,1,1.9,0,0,0,1.1,0,25.17,2.78,-1.38666666666667,3.62,14.54,"Censor","cluster3","cluster1","cluster3","cluster1","cluster1"
"florida",2022,"Q2",30,290000,3e+05,34000,11,40000,39000,13,28.4,15.8,5.9,8.5,12.7,6.5,33.33,15.94,0.08,4.86,25.11,"Censor","cluster1","cluster3","cluster2","cluster3","cluster1"
"georgia",2022,"Q2",30,132000,134000,25000,19,27000,47000,35,35,8.8,1.4,5.9,8.1,5.6,33.33,9.56,-1.30333333333333,3.34,22.3,"Censor","cluster1","cluster3","cluster2","cluster1","cluster3"
"hawaii",2022,"Q2",30,22000,22000,420,2,2200,2100,10,63.1,61.2,4.6,0,0.5,0,NA,NA,NA,NA,NA,"Censor","cluster1","cluster3","cluster2","cluster1","cluster3"
"idaho",2017,"Q1",9,95000,99000,8500,9,2000,280,0,74.2,42.3,42.3,21.2,1.7,0.4,8.78,-12.33,2.78,4.12666666666667,-1.76,"Event","cluster2","cluster2","cluster1","cluster3","cluster1"
"illinois",2022,"Q2",30,9000,9500,1100,12,4300,2100,22,18.3,7.4,3.2,1.6,7.3,10.6,29.56,4.06,1.51333333333333,3.45333333333333,17.11,"Censor","cluster3","cluster1","cluster3","cluster2","cluster3"
"indiana",2022,"Q2",30,8000,10000,1600,16,5500,620,6,25.9,4.6,0.5,3.9,6.7,4.3,29.28,3.78,1.96333333333333,3.56,16.76,"Censor","cluster3","cluster1","cluster3","cluster1","cluster3"
"iowa",2022,"Q2",30,27000,28000,2300,8,5000,2400,9,49.3,1.1,1.6,0.9,4.6,8.2,28.39,0.44,-0.05,3.45,14.94,"Censor","cluster3","cluster2","cluster1","cluster3","cluster3"
"kansas",2016,"Q1",5,5000,5000,1100,22,1400,100,2,30.3,10,0.1,1.1,2.4,5.4,18.22,-6,1.75666666666667,0.6,4.91,"Event","cluster3","cluster1","cluster3","cluster2","cluster3"
"kentucky",2016,"Q1",5,6500,6500,1300,20,390,40,1,23.6,9,0.7,6.3,12.5,8.4,17.22,-5.67,2.64666666666667,3.69,4.87,"Event","cluster1","cluster1","cluster2","cluster1","cluster2"
"louisiana",2022,"Q2",30,43000,43000,1900,4,8500,11500,27,30.6,9.5,4.6,4.6,2.3,2.4,33.78,13.5,-2.35,3.73666666666667,24.3,"Censor","cluster1","cluster3","cluster2","cluster1","cluster2"
"maine",2016,"Q2",6,3600,25000,4200,17,510,560,2,82.7,0,4.3,31.1,2.4,27.9,22.22,-3.56,-0.683333333333333,2.83333333333333,10.11,"Event","cluster2","cluster2","cluster1","cluster1","cluster2"
"maryland",2022,"Q2",30,7500,8500,390,5,1600,1100,13,15,7.9,2.4,0.8,14.7,1.7,28.28,5.56,-0.453333333333333,4.35333333333333,17.37,"Censor","cluster1","cluster1","cluster2","cluster1","cluster3"
"massachusetts",2017,"Q1",9,3300,3300,1500,45,120,110,3,32.5,5.6,3,4.5,10.5,5.6,5.94,-5.39,-2.86333333333333,3.30666666666667,0,"Event","cluster3","cluster1","cluster3","cluster1","cluster2"
"michigan",2016,"Q1",5,25000,42000,5000,12,2300,80,0,5.9,0.2,0,0.5,1.3,11.3,7.44,-9,1.16333333333333,2.41666666666667,-2.28,"Event","cluster2","cluster2","cluster1","cluster1","cluster2"
"minnesota",2016,"Q1",5,36000,38000,5500,14,6000,0,0,12.1,7,0.2,11.6,8,14.5,7.28,-15.06,2.44,1.08,-5.15,"Event","cluster2","cluster2","cluster1","cluster3","cluster3"
"mississippi",2022,"Q2",30,46000,47000,4000,9,16000,7000,15,25.4,15.3,0,0.7,15.2,8.9,33.61,10.78,1.44666666666667,4.55333333333333,22.96,"Censor","cluster1","cluster3","cluster2","cluster1","cluster2"
