"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","589,630",""
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","51,500",""
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","282,630",""
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","10",""
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","3.9",""
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","15.1",""
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","6.7",""
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","21.2",""
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","3.5",""
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","45.2",""
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","492,410",""
"SURVEY","2022","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","17",""
"SURVEY","2022","FIRST OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","2,921,590",""
"SURVEY","2022","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","2,875,770",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","367,890",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","86,070",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","331,780",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","12",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","2.5",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","4.5",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","5.8",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","8.4",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","4.2",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","33.7",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","187,180",""
"SURVEY","2022","JAN THRU MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES","TOTAL","NOT SPECIFIED","7",""
"SURVEY","2021","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES","TOTAL","NOT SPECIFIED","665,730",""
