Alaska, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,13.5,4.4
201502,19.8,7.3
201503,24.8,5.0
201504,36.3,4.2
201505,54.2,7.9
201506,61.8,3.7
201507,62.3,1.1
201508,56.5,-0.7
201509,45.0,-2.5
201510,36.8,5.2
201511,23.3,5.3
201512,14.3,4.0
201601,23.0,13.9
201602,24.2,11.7
201603,26.7,6.9
201604,42.0,9.9
201605,52.9,6.6
201606,60.9,2.8
201607,63.3,2.1
201608,60.5,3.3
201609,49.7,2.2
201610,37.3,5.7
201611,19.1,1.1
201612,12.2,1.9
201701,11.8,2.7
201702,14.6,2.1
201703,15.2,-4.6
201704,38.6,6.5
201705,49.7,3.4
201706,60.3,2.2
201707,64.4,3.2
201708,57.1,-0.1
201709,49.0,1.5
201710,35.6,4.0
201711,22.0,4.0
201712,24.8,14.5
201801,12.9,3.8
201802,19.7,7.2
201803,26.1,6.3
201804,34.9,2.8
201805,46.8,0.5
201806,58.4,0.3
201807,64.2,3.0
201808,55.6,-1.6
201809,52.0,4.5
201810,40.0,8.4
201811,24.4,6.4
201812,15.0,4.7
201901,14.1,5.0
201902,23.2,10.7
201903,33.8,14.0
201904,36.9,4.8
201905,51.3,5.0
201906,63.5,5.4
201907,66.7,5.5
201908,59.4,2.2
201909,51.3,3.8
201910,36.6,5.0
201911,25.1,7.1
201912,12.5,2.2
202001,-0.1,-9.2
202002,9.7,-2.8
202003,20.8,1.0
202004,35.5,3.4
202005,52.9,6.6
202006,58.9,0.8
202007,61.0,-0.2
202008,60.3,3.1
202009,48.5,1.0
202010,34.9,3.3
202011,20.9,2.9
202012,16.6,6.3
202101,16.7,7.6
202102,8.6,-3.9
202103,18.4,-1.4
202104,33.8,1.7
202105,49.1,2.8
202106,59.4,1.3
202107,61.3,0.1
202108,56.1,-1.1
202109,46.2,-1.3
202110,33.2,1.6
202111,10.5,-7.5
202112,13.7,3.4
202201,9.8,0.7
202202,15.0,2.5
202203,24.5,4.7
202204,34.2,2.1
202205,49.0,2.7
202206,62.9,4.8
