Alaska, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,0.8,5.6
201502,5.5,8.5
201503,7.0,5.2
201504,20.0,5.4
201505,35.3,6.0
201506,42.9,2.7
201507,46.2,2.0
201508,42.0,0.1
201509,32.8,-0.8
201510,26.4,7.1
201511,11.2,5.7
201512,2.3,5.2
201601,11.4,16.2
201602,10.4,13.4
201603,10.8,9.0
201604,24.7,10.1
201605,35.2,5.9
201606,42.7,2.5
201607,47.9,3.7
201608,46.0,4.1
201609,34.9,1.3
201610,22.0,2.7
201611,7.6,2.1
201612,0.1,3.0
201701,-2.7,2.1
201702,-1.4,1.6
201703,-5.5,-7.3
201704,20.8,6.2
201705,31.8,2.5
201706,42.6,2.4
201707,48.0,3.8
201708,43.4,1.5
201709,36.1,2.5
201710,24.7,5.4
201711,9.5,4.0
201712,13.4,16.3
201801,0.5,5.3
201802,5.6,8.6
201803,10.0,8.2
201804,18.7,4.1
201805,32.0,2.7
201806,41.6,1.4
201807,47.0,2.8
201808,43.6,1.7
201809,36.5,2.9
201810,27.7,8.4
201811,13.9,8.4
201812,3.2,6.1
201901,1.0,5.8
201902,7.7,10.7
201903,19.2,17.4
201904,20.0,5.4
201905,34.7,5.4
201906,44.5,4.3
201907,49.5,5.3
201908,43.6,1.7
201909,37.5,3.9
201910,25.0,5.7
201911,14.6,9.1
201912,0.8,3.7
202001,-12.6,-7.8
202002,-6.7,-3.7
202003,3.2,1.4
202004,19.5,4.9
202005,33.7,4.4
202006,42.1,1.9
202007,45.4,1.2
202008,43.9,2.0
202009,35.5,1.9
202010,22.9,3.6
202011,8.1,2.6
202012,4.6,7.5
202101,4.6,9.4
202102,-6.6,-3.6
202103,-0.2,-2.0
202104,14.1,-0.5
202105,31.4,2.1
202106,42.5,2.3
202107,46.5,2.3
202108,42.8,0.9
202109,32.5,-1.1
202110,22.6,3.3
202111,-1.4,-6.9
202112,-0.3,2.6
202201,-2.8,2.0
202202,2.1,5.1
202203,8.8,7.0
202204,15.7,1.1
202205,30.9,1.6
202206,42.5,2.3
