Arizona, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-1.78
201502,-2.19
201503,-2.40
201504,-2.67
201505,0.25
201506,0.33
201507,0.42
201508,0.24
201509,0.22
201510,0.84
201511,-0.03
201512,-0.40
201601,-0.25
201602,-1.06
201603,-2.06
201604,-2.24
201605,-2.40
201606,-2.77
201607,-3.04
201608,-2.39
201609,-2.00
201610,-2.49
201611,-2.34
201612,-1.63
201701,-0.80
201702,-0.66
201703,-1.31
201704,-1.67
201705,-1.48
201706,-1.68
201707,-0.69
201708,-1.28
201709,-1.67
201710,-2.41
201711,-3.21
201712,-3.75
201801,-4.15
201802,-4.04
201803,-4.35
201804,-5.24
201805,-5.64
201806,-5.85
201807,-4.76
201808,-4.49
201809,-4.54
201810,1.51
201811,0.95
201812,0.49
201901,0.60
201902,1.76
201903,1.66
201904,1.46
201905,1.96
201906,2.05
201907,-0.84
201908,-1.91
201909,-1.39
201910,-1.94
201911,1.48
201912,1.74
202001,1.20
202002,1.15
202003,1.87
202004,1.83
202005,2.06
202006,-0.15
202007,-1.21
202008,-2.57
202009,-3.39
202010,-3.91
202011,-4.15
202012,-4.33
202101,-3.93
202102,-4.24
202103,-4.15
202104,-4.69
202105,-5.22
202106,-5.61
202107,-3.42
202108,-3.15
202109,-2.88
202110,-2.68
202111,-3.33
202112,-2.78
202201,-3.12
202202,-3.30
202203,-3.46
202204,-4.22
202205,-4.80
202206,-4.72
