Alaska, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,3.17,0.44
201502,1.84,-0.48
201503,2.26,0.03
201504,2.73,0.84
201505,1.82,-0.29
201506,2.07,-0.27
201507,3.92,0.64
201508,4.88,0.51
201509,6.21,1.64
201510,4.16,-0.23
201511,5.39,2.00
201512,1.65,-1.42
201601,2.71,-0.02
201602,2.48,0.16
201603,2.25,0.02
201604,2.30,0.41
201605,2.68,0.57
201606,2.68,0.34
201607,4.18,0.90
201608,5.20,0.83
201609,5.89,1.32
201610,1.70,-2.69
201611,2.90,-0.49
201612,2.10,-0.97
201701,2.90,0.17
201702,2.34,0.02
201703,1.19,-1.04
201704,0.90,-0.99
201705,2.76,0.65
201706,2.09,-0.25
201707,3.42,0.14
201708,6.02,1.65
201709,5.32,0.75
201710,5.23,0.84
201711,2.34,-1.05
201712,3.55,0.48
201801,2.44,-0.29
201802,2.08,-0.24
201803,2.03,-0.20
201804,2.08,0.19
201805,2.98,0.87
201806,3.01,0.67
201807,2.77,-0.51
201808,6.53,2.16
201809,2.57,-2.00
201810,4.92,0.53
201811,3.57,0.18
201812,2.92,-0.15
201901,2.50,-0.23
201902,2.20,-0.12
201903,2.53,0.30
201904,1.92,0.03
201905,2.37,0.26
201906,1.81,-0.53
201907,2.89,-0.39
201908,3.37,-1.00
201909,5.45,0.88
201910,4.82,0.43
201911,5.10,1.71
201912,3.04,-0.03
202001,1.89,-0.84
202002,3.01,0.69
202003,2.28,0.05
202004,2.73,0.84
202005,1.49,-0.62
202006,3.18,0.84
202007,3.39,0.11
202008,4.39,0.02
202009,4.07,-0.50
202010,3.39,-1.00
202011,3.99,0.60
202012,4.13,1.06
202101,3.19,0.46
202102,1.97,-0.35
202103,2.91,0.68
202104,2.04,0.15
202105,2.17,0.06
202106,2.76,0.42
202107,3.55,0.27
202108,5.37,1.00
202109,4.34,-0.23
202110,4.80,0.41
202111,2.44,-0.95
202112,4.03,0.96
202201,3.61,0.88
202202,4.37,2.05
202203,2.56,0.33
202204,1.02,-0.87
202205,1.31,-0.80
202206,1.16,-1.18
