Arizona, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,57.1,4.1
201502,66.1,8.5
201503,70.6,7.5
201504,73.7,2.0
201505,77.2,-3.6
201506,94.1,3.2
201507,91.8,-2.0
201508,94.2,2.9
201509,88.4,1.9
201510,77.0,1.3
201511,61.7,-1.3
201512,53.7,-0.3
201601,54.1,1.1
201602,66.6,9.0
201603,70.4,7.3
201604,73.1,1.4
201605,79.7,-1.1
201606,96.5,5.6
201607,96.8,3.0
201608,90.6,-0.7
201609,85.4,-1.1
201610,81.0,5.3
201611,66.4,3.4
201612,56.6,2.6
201701,52.4,-0.6
201702,61.3,3.7
201703,72.1,9.0
201704,75.7,4.0
201705,81.8,1.0
201706,97.0,6.1
201707,94.9,1.1
201708,93.0,1.7
201709,86.9,0.4
201710,81.3,5.6
201711,72.3,9.3
201712,61.1,7.1
201801,61.9,8.9
201802,60.4,2.8
201803,66.4,3.3
201804,78.9,7.2
201805,85.0,4.2
201806,95.5,4.6
201807,96.2,2.4
201808,93.7,2.4
201809,90.9,4.4
201810,71.2,-4.5
201811,63.7,0.7
201812,54.7,0.7
201901,54.2,1.2
201902,52.4,-5.2
201903,64.9,1.8
201904,75.4,3.7
201905,75.2,-5.6
201906,91.8,0.9
201907,96.8,3.0
201908,96.6,5.3
201909,87.7,1.2
201910,76.1,0.4
201911,66.0,3.0
201912,52.9,-1.1
202001,56.7,3.7
202002,59.8,2.2
202003,63.2,0.1
202004,74.6,2.9
202005,87.5,6.7
202006,93.5,2.6
202007,97.8,4.0
202008,99.4,8.1
202009,91.8,5.3
202010,83.5,7.8
202011,68.2,5.2
202012,56.2,2.2
202101,55.9,2.9
202102,60.6,3.0
202103,63.6,0.5
202104,76.9,5.2
202105,84.6,3.8
202106,96.9,6.0
202107,94.2,0.4
202108,92.7,1.4
202109,88.7,2.2
202110,74.4,-1.3
202111,70.9,7.9
202112,57.5,3.5
202201,57.4,4.4
202202,59.1,1.5
202203,66.9,3.8
202204,77.1,5.4
202205,85.5,4.7
202206,94.1,3.2
