Arizona, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,33.2,4.9
201502,37.8,6.0
201503,42.0,6.2
201504,43.1,1.3
201505,48.6,-0.6
201506,62.7,4.8
201507,65.4,-0.2
201508,66.9,2.6
201509,61.6,4.0
201510,52.0,5.7
201511,34.8,-0.5
201512,28.1,-0.9
201601,29.5,1.2
201602,34.5,2.7
201603,39.5,3.7
201604,43.8,2.0
201605,49.6,0.4
201606,64.1,6.2
201607,67.9,2.3
201608,64.4,0.1
201609,57.8,0.2
201610,51.2,4.9
201611,39.8,4.5
201612,32.8,3.8
201701,32.2,3.9
201702,37.4,5.6
201703,41.2,5.4
201704,44.0,2.2
201705,50.2,1.0
201706,62.6,4.7
201707,68.0,2.4
201708,65.2,0.9
201709,57.9,0.3
201710,48.8,2.5
201711,42.9,7.6
201712,32.1,3.1
201801,33.2,4.9
201802,33.1,1.3
201803,38.2,2.4
201804,46.9,5.1
201805,52.0,2.8
201806,61.7,3.8
201807,68.3,2.7
201808,66.6,2.3
201809,61.1,3.5
201810,48.7,2.4
201811,35.0,-0.3
201812,30.8,1.8
201901,30.7,2.4
201902,29.4,-2.4
201903,38.5,2.7
201904,45.1,3.3
201905,46.2,-3.0
201906,58.6,0.7
201907,67.0,1.4
201908,67.2,2.9
201909,59.9,2.3
201910,43.9,-2.4
201911,38.2,2.9
201912,31.6,2.6
202001,30.7,2.4
202002,32.0,0.2
202003,38.8,3.0
202004,44.0,2.2
202005,53.5,4.3
202006,60.0,2.1
202007,67.8,2.2
202008,68.8,4.5
202009,59.3,1.7
202010,48.8,2.5
202011,38.8,3.5
202012,27.7,-1.3
202101,29.5,1.2
202102,32.4,0.6
202103,35.3,-0.5
202104,45.6,3.8
202105,51.2,2.0
202106,64.4,6.5
202107,68.7,3.1
202108,66.2,1.9
202109,60.8,3.2
202110,45.5,-0.8
202111,40.6,5.3
202112,33.6,4.6
202201,30.1,1.8
202202,29.4,-2.4
202203,36.7,0.9
202204,44.6,2.8
202205,51.8,2.6
202206,63.1,5.2
