Arizona, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,1.79,0.65
201502,0.64,-0.51
201503,1.12,0.00
201504,0.42,-0.15
201505,1.00,0.66
201506,0.80,0.51
201507,1.91,0.11
201508,2.10,0.00
201509,1.37,0.19
201510,1.88,0.98
201511,0.76,-0.09
201512,0.60,-0.58
201601,1.40,0.26
201602,0.29,-0.86
201603,0.11,-1.01
201604,0.80,0.23
201605,0.52,0.18
201606,0.43,0.14
201607,1.39,-0.41
201608,2.57,0.47
201609,1.35,0.17
201610,0.35,-0.55
201611,0.94,0.09
201612,2.13,0.95
201701,2.07,0.93
201702,1.26,0.11
201703,0.41,-0.71
201704,0.19,-0.38
201705,0.41,0.07
201706,0.06,-0.23
201707,2.89,1.09
201708,1.39,-0.71
201709,0.61,-0.57
201710,0.03,-0.87
201711,0.02,-0.83
201712,0.13,-1.05
201801,0.56,-0.58
201802,1.07,-0.08
201803,0.44,-0.68
201804,0.04,-0.53
201805,0.15,-0.19
201806,0.33,0.04
201807,2.59,0.79
201808,2.00,-0.10
201809,0.81,-0.37
201810,2.70,1.80
201811,0.27,-0.58
201812,0.71,-0.47
201901,1.50,0.36
201902,2.74,1.59
201903,1.22,0.10
201904,0.30,-0.27
201905,0.91,0.57
201906,0.06,-0.23
201907,0.79,-1.01
201908,0.88,-1.22
201909,1.68,0.50
201910,0.02,-0.88
201911,2.96,2.11
201912,1.63,0.45
202001,0.45,-0.69
202002,1.10,-0.05
202003,2.38,1.26
202004,0.36,-0.21
202005,0.11,-0.23
202006,0.04,-0.25
202007,0.71,-1.09
202008,0.60,-1.50
202009,0.11,-1.07
202010,0.14,-0.76
202011,0.27,-0.58
202012,0.29,-0.89
202101,1.31,0.17
202102,0.23,-0.92
202103,0.73,-0.39
202104,0.19,-0.38
202105,0.04,-0.30
202106,0.22,-0.07
202107,3.82,2.02
202108,2.18,0.08
202109,1.29,0.11
202110,0.74,-0.16
202111,0.05,-0.80
202112,1.77,0.59
202201,0.30,-0.84
202202,0.40,-0.75
202203,0.58,-0.54
202204,0.02,-0.55
202205,0.00,-0.34
202206,0.70,0.41
