Arkansas, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.58
201502,-0.67
201503,0.98
201504,1.07
201505,2.36
201506,2.08
201507,2.20
201508,2.05
201509,1.11
201510,0.96
201511,2.35
201512,3.18
201601,2.37
201602,1.56
201603,2.75
201604,2.68
201605,2.29
201606,1.70
201607,1.69
201608,2.89
201609,-0.54
201610,-1.21
201611,-1.66
201612,-1.82
201701,-1.94
201702,-2.33
201703,-2.34
201704,0.97
201705,1.28
201706,1.31
201707,1.62
201708,2.75
201709,-0.57
201710,-0.98
201711,-1.92
201712,-1.74
201801,-1.82
201802,2.38
201803,2.21
201804,2.26
201805,-0.81
201806,-1.35
201807,-1.83
201808,0.89
201809,1.24
201810,1.64
201811,1.84
201812,2.65
201901,2.55
201902,3.41
201903,2.85
201904,3.53
201905,4.13
201906,4.44
201907,4.65
201908,4.96
201909,3.83
201910,4.64
201911,4.53
201912,3.48
202001,3.69
202002,3.85
202003,4.01
202004,4.05
202005,4.17
202006,3.99
202007,3.66
202008,4.58
202009,4.94
202010,5.04
202011,4.00
202012,3.65
202101,3.34
202102,2.92
202103,2.86
202104,2.86
202105,3.07
202106,3.04
202107,3.32
202108,3.11
202109,-0.58
202110,-0.47
202111,-1.06
202112,-1.55
202201,-1.53
202202,0.15
202203,0.36
202204,0.85
202205,0.99
202206,-0.24
