California, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,59.4,7.5
201502,65.0,9.4
201503,70.2,10.2
201504,70.3,3.8
201505,73.2,-0.9
201506,89.1,6.3
201507,88.5,-1.4
201508,91.0,2.1
201509,86.2,3.1
201510,77.5,4.6
201511,59.0,-1.9
201512,51.7,-1.2
201601,52.9,1.0
201602,64.2,8.6
201603,63.7,3.7
201604,70.4,3.9
201605,74.8,0.7
201606,88.3,5.5
201607,91.9,2.0
201608,91.2,2.3
201609,84.2,1.1
201610,72.0,-0.9
201611,63.7,2.8
201612,53.0,0.1
201701,50.3,-1.6
201702,55.6,0.0
201703,65.1,5.1
201704,67.7,1.2
201705,77.2,3.1
201706,87.3,4.5
201707,93.7,3.8
201708,92.1,3.2
201709,83.1,0.0
201710,76.5,3.6
201711,63.7,2.8
201712,59.7,6.8
201801,58.6,6.7
201802,59.0,3.4
201803,59.7,-0.3
201804,70.0,3.5
201805,75.9,1.8
201806,86.5,3.7
201807,94.0,4.1
201808,91.0,2.1
201809,86.0,2.9
201810,73.5,0.6
201811,64.5,3.6
201812,53.8,0.9
201901,55.2,3.3
201902,49.2,-6.4
201903,59.2,-0.8
201904,70.3,3.8
201905,70.2,-3.9
201906,85.3,2.5
201907,90.0,0.1
201908,91.5,2.6
201909,82.5,-0.6
201910,73.3,0.4
201911,65.6,4.7
201912,52.2,-0.7
202001,55.1,3.2
202002,62.1,6.5
202003,58.3,-1.7
202004,68.6,2.1
202005,78.4,4.3
202006,84.9,2.1
202007,92.0,2.1
202008,93.6,4.7
202009,88.8,5.7
202010,81.2,8.3
202011,63.2,2.3
202012,56.7,3.8
202101,55.6,3.7
202102,58.7,3.1
202103,60.3,0.3
202104,72.5,6.0
202105,78.9,4.8
202106,89.8,7.0
202107,94.3,4.4
202108,91.8,2.9
202109,86.7,3.6
202110,70.3,-2.6
202111,66.1,5.2
202112,52.2,-0.7
202201,57.7,5.8
202202,61.1,5.5
202203,65.9,5.9
202204,68.9,2.4
202205,76.1,2.0
202206,86.5,3.7
