California, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-4.84
201502,-4.86
201503,-5.67
201504,-5.53
201505,-5.11
201506,-5.13
201507,-4.85
201508,-4.75
201509,-4.48
201510,-4.48
201511,-4.30
201512,-3.57
201601,-2.30
201602,-2.99
201603,-2.08
201604,-2.10
201605,-1.89
201606,-1.88
201607,-2.30
201608,-2.55
201609,-2.70
201610,1.57
201611,1.24
201612,1.38
201701,3.61
201702,4.76
201703,-0.45
201704,0.48
201705,-0.22
201706,-0.26
201707,-0.75
201708,-0.98
201709,-0.96
201710,-1.55
201711,-1.41
201712,-2.63
201801,-3.13
201802,-4.15
201803,-3.05
201804,-2.63
201805,-2.42
201806,-2.29
201807,-2.41
201808,-2.71
201809,-2.93
201810,-3.04
201811,-2.79
201812,-3.06
201901,0.23
201902,2.10
201903,2.29
201904,1.67
201905,2.76
201906,2.97
201907,-0.09
201908,-0.34
201909,-0.16
201910,-0.80
201911,-1.28
201912,-0.90
202001,-1.60
202002,-2.72
202003,-2.45
202004,-2.14
202005,-1.65
202006,-1.44
202007,-1.57
202008,-1.83
202009,-2.21
202010,-3.03
202011,-3.38
202012,-3.89
202101,-4.03
202102,-4.62
202103,-4.79
202104,-5.19
202105,-5.85
202106,-6.69
202107,-7.04
202108,-6.87
202109,-6.38
202110,-4.16
202111,-4.44
202112,-3.17
202201,-4.06
202202,-4.84
202203,-5.43
202204,-4.97
202205,-5.06
202206,-5.11
