California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,0.65,-3.60
201502,2.86,-0.99
201503,0.78,-2.43
201504,1.06,-0.57
201505,0.93,0.05
201506,0.23,-0.12
201507,0.66,0.48
201508,0.08,-0.16
201509,0.33,-0.12
201510,0.90,-0.30
201511,1.87,-0.66
201512,4.69,1.08
201601,6.39,2.14
201602,1.21,-2.64
201603,4.88,1.67
201604,1.52,-0.11
201605,0.77,-0.11
201606,0.27,-0.08
201607,0.06,-0.12
201608,0.06,-0.18
201609,0.10,-0.35
201610,3.82,2.62
201611,2.16,-0.37
201612,4.49,0.88
201701,9.92,5.67
201702,7.94,4.09
201703,2.45,-0.76
201704,2.76,1.13
201705,0.43,-0.45
201706,0.26,-0.09
201707,0.09,-0.09
201708,0.27,0.03
201709,0.43,-0.02
201710,0.34,-0.86
201711,2.98,0.45
201712,0.30,-3.31
201801,3.33,-0.92
201802,0.57,-3.28
201803,5.12,1.91
201804,2.13,0.50
201805,0.66,-0.22
201806,0.07,-0.28
201807,0.22,0.04
201808,0.04,-0.20
201809,0.06,-0.39
201810,0.70,-0.50
201811,2.81,0.28
201812,2.38,-1.23
201901,5.23,0.98
201902,8.57,4.72
201903,4.05,0.84
201904,1.22,-0.41
201905,2.50,1.62
201906,0.09,-0.26
201907,0.08,-0.10
201908,0.13,-0.11
201909,0.61,0.16
201910,0.16,-1.04
201911,1.61,-0.92
201912,4.87,1.26
202001,2.06,-2.19
202002,0.21,-3.64
202003,3.19,-0.02
202004,1.99,0.36
202005,1.20,0.32
202006,0.16,-0.19
202007,0.05,-0.13
202008,0.10,-0.14
202009,0.04,-0.41
202010,0.05,-1.15
202011,1.19,-1.34
202012,1.83,-1.78
202101,3.65,-0.60
202102,1.39,-2.46
202103,1.73,-1.48
202104,0.29,-1.34
202105,0.11,-0.77
202106,0.14,-0.21
202107,0.29,0.11
202108,0.10,-0.14
202109,0.36,-0.09
202110,3.66,2.46
202111,0.95,-1.58
202112,6.26,2.65
202201,0.45,-3.80
202202,0.24,-3.61
202203,1.05,-2.16
202204,1.72,0.09
202205,0.30,-0.58
202206,0.44,0.09
