Colorado, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,41.1,4.7
201502,44.9,4.3
201503,54.9,8.1
201504,58.6,2.5
201505,61.1,-4.7
201506,79.2,3.0
201507,80.2,-1.7
201508,81.8,2.1
201509,77.9,5.7
201510,64.6,3.7
201511,47.5,0.8
201512,37.4,-0.2
201601,38.1,1.7
201602,45.7,5.1
201603,52.0,5.2
201604,56.8,0.7
201605,64.1,-1.7
201606,82.3,6.1
201607,84.4,2.5
201608,78.7,-1.0
201609,74.6,2.4
201610,67.3,6.4
201611,54.0,7.3
201612,37.6,0.0
201701,36.2,-0.2
201702,47.9,7.3
201703,57.1,10.3
201704,57.7,1.6
201705,65.2,-0.6
201706,80.7,4.5
201707,84.1,2.2
201708,78.8,-0.9
201709,73.1,0.9
201710,61.5,0.6
201711,54.9,8.2
201712,43.9,6.3
201801,43.7,7.3
201802,41.4,0.8
201803,52.4,5.6
201804,58.5,2.4
201805,72.0,6.2
201806,82.9,6.7
201807,85.1,3.2
201808,81.0,1.3
201809,77.2,5.0
201810,57.1,-3.8
201811,45.0,-1.7
201812,39.2,1.6
201901,38.6,2.2
201902,37.6,-3.0
201903,45.8,-1.0
201904,59.2,3.1
201905,60.5,-5.3
201906,75.4,-0.8
201907,84.4,2.5
201908,83.6,3.9
201909,78.3,6.1
201910,56.3,-4.6
201911,48.8,2.1
201912,39.9,2.3
202001,40.0,3.6
202002,39.5,-1.1
202003,51.4,4.6
202004,58.1,2.0
202005,70.7,4.9
202006,80.9,4.7
202007,84.5,2.6
202008,86.4,6.7
202009,74.6,2.4
202010,63.3,2.4
202011,52.4,5.7
202012,39.6,2.0
202101,39.0,2.6
202102,36.5,-4.1
202103,48.8,2.0
202104,57.6,1.5
202105,66.2,0.4
202106,81.2,5.0
202107,84.6,2.7
202108,82.6,2.9
202109,78.3,6.1
202110,62.1,1.2
202111,54.9,8.2
202112,45.8,8.2
202201,40.4,4.0
202202,39.0,-1.6
202203,49.0,2.2
202204,58.9,2.8
202205,68.1,2.3
202206,79.2,3.0
