Colorado, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,17.3,6.3
201502,19.4,5.1
201503,26.3,5.8
201504,31.1,2.2
201505,38.4,0.5
201506,50.6,4.3
201507,52.9,0.7
201508,52.0,1.3
201509,47.2,4.7
201510,38.2,6.2
201511,21.7,1.3
201512,14.2,1.4
201601,13.2,2.2
201602,19.0,4.7
201603,23.9,3.4
201604,30.6,1.7
201605,37.5,-0.4
201606,50.5,4.2
201607,54.0,1.8
201608,50.4,-0.3
201609,44.7,2.2
201610,36.2,4.2
201611,26.4,6.0
201612,12.8,0.0
201701,14.5,3.5
201702,22.9,8.6
201703,27.9,7.4
201704,30.8,1.9
201705,37.7,-0.2
201706,48.9,2.6
201707,54.7,2.5
201708,50.6,-0.1
201709,45.2,2.7
201710,31.9,-0.1
201711,27.7,7.3
201712,16.3,3.5
201801,15.7,4.7
201802,15.8,1.5
201803,23.3,2.8
201804,29.4,0.5
201805,42.4,4.5
201806,50.1,3.8
201807,54.8,2.6
201808,51.3,0.6
201809,46.5,4.0
201810,33.0,1.0
201811,20.0,-0.4
201812,14.0,1.2
201901,13.4,2.4
201902,12.3,-2.0
201903,21.7,1.2
201904,31.7,2.8
201905,35.3,-2.6
201906,45.7,-0.6
201907,53.8,1.6
201908,53.0,2.3
201909,47.5,5.0
201910,25.5,-6.5
201911,21.6,1.2
201912,16.2,3.4
202001,14.8,3.8
202002,13.4,-0.9
202003,26.1,5.6
202004,28.6,-0.3
202005,40.5,2.6
202006,49.2,2.9
202007,54.1,1.9
202008,53.8,3.1
202009,43.0,0.5
202010,31.0,-1.0
202011,24.6,4.2
202012,13.9,1.1
202101,14.5,3.5
202102,13.0,-1.3
202103,22.8,2.3
202104,28.5,-0.4
202105,39.5,1.6
202106,50.3,4.0
202107,55.3,3.1
202108,52.1,1.4
202109,46.5,4.0
202110,33.5,1.5
202111,26.6,6.2
202112,19.0,6.2
202201,12.8,1.8
202202,10.9,-3.4
202203,20.9,0.4
202204,28.5,-0.4
202205,38.4,0.5
202206,49.3,3.0
