Colorado, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value,Anomaly
201501,-0.29,-0.68
201502,-0.06,-0.47
201503,-0.92,-1.30
201504,-0.97,-1.35
201505,2.56,2.21
201506,2.71,2.44
201507,3.10,2.65
201508,2.77,2.28
201509,1.82,1.32
201510,1.80,1.32
201511,2.07,1.61
201512,2.24,1.85
201601,2.13,1.74
201602,1.88,1.47
201603,1.39,1.01
201604,1.92,1.54
201605,1.93,1.58
201606,-0.08,-0.35
201607,-0.43,-0.88
201608,-0.31,-0.80
201609,-0.73,-1.23
201610,-1.54,-2.02
201611,-2.05,-2.51
201612,0.21,-0.18
201701,1.01,0.62
201702,-0.18,-0.59
201703,-0.98,-1.36
201704,0.10,-0.28
201705,0.73,0.38
201706,0.06,-0.21
201707,0.70,0.25
201708,0.67,0.18
201709,1.03,0.53
201710,-0.24,-0.72
201711,-1.24,-1.70
201712,-1.94,-2.33
201801,-2.40,-2.79
201802,-2.71,-3.12
201803,-3.67,-4.05
201804,-3.97,-4.35
201805,-4.63,-4.98
201806,-5.63,-5.90
201807,-5.97,-6.42
201808,-6.27,-6.76
201809,-6.65,-7.15
201810,0.87,0.39
201811,0.71,0.25
201812,0.30,-0.09
201901,0.40,0.01
201902,0.72,0.31
201903,1.72,1.34
201904,1.21,0.83
201905,2.06,1.71
201906,2.31,2.04
201907,2.15,1.70
201908,-0.42,-0.91
201909,-1.20,-1.70
201910,-1.02,-1.50
201911,-1.02,-1.48
201912,-0.87,-1.26
202001,-1.18,-1.57
202002,-1.25,-1.66
202003,-1.74,-2.12
202004,-2.39,-2.77
202005,-3.29,-3.64
202006,-3.92,-4.19
202007,-4.37,-4.82
202008,-5.54,-6.03
202009,-5.57,-6.07
202010,-5.59,-6.07
202011,-5.68,-6.14
202012,-5.57,-5.96
202101,-5.75,-6.14
202102,-5.77,-6.18
202103,-5.49,-5.87
202104,-5.63,-6.01
202105,-4.59,-4.94
202106,-4.75,-5.02
202107,-4.63,-5.08
202108,-4.93,-5.42
202109,-4.92,-5.42
202110,-4.64,-5.12
202111,-5.37,-5.83
202112,-4.66,-5.05
202201,-4.73,-5.12
202202,-4.79,-5.20
202203,-4.83,-5.21
202204,-5.28,-5.66
202205,-5.38,-5.73
202206,-5.53,-5.80
