Colorado, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,0.65,-0.41
201502,1.35,0.26
201503,0.86,-0.66
201504,1.88,0.04
201505,5.30,3.28
201506,1.91,0.37
201507,2.37,0.27
201508,1.67,-0.36
201509,0.76,-0.67
201510,1.82,0.47
201511,1.69,0.62
201512,1.47,0.39
201601,1.02,-0.04
201602,0.85,-0.24
201603,1.28,-0.24
201604,2.74,0.90
201605,2.07,0.05
201606,1.35,-0.19
201607,1.64,-0.46
201608,2.07,0.04
201609,1.00,-0.43
201610,0.49,-0.86
201611,0.92,-0.15
201612,1.65,0.57
201701,2.29,1.23
201702,1.00,-0.09
201703,1.19,-0.33
201704,2.17,0.33
201705,2.82,0.80
201706,0.69,-0.85
201707,3.05,0.95
201708,1.87,-0.16
201709,1.98,0.55
201710,0.93,-0.42
201711,0.52,-0.55
201712,0.40,-0.68
201801,0.81,-0.25
201802,1.13,0.04
201803,0.90,-0.62
201804,1.37,-0.47
201805,1.54,-0.48
201806,0.98,-0.56
201807,2.11,0.01
201808,1.45,-0.58
201809,0.66,-0.77
201810,2.39,1.04
201811,0.87,-0.20
201812,0.75,-0.33
201901,1.38,0.32
201902,1.57,0.48
201903,2.79,1.27
201904,1.44,-0.40
201905,2.84,0.82
201906,1.78,0.24
201907,1.58,-0.52
201908,1.47,-0.56
201909,0.71,-0.72
201910,0.97,-0.38
201911,1.11,0.04
201912,1.27,0.19
202001,0.72,-0.34
202002,1.09,0.00
202003,1.35,-0.17
202004,0.80,-1.04
202005,1.07,-0.95
202006,1.15,-0.39
202007,1.85,-0.25
202008,0.80,-1.23
202009,0.97,-0.46
202010,0.62,-0.73
202011,0.85,-0.22
202012,0.96,-0.12
202101,0.74,-0.32
202102,1.11,0.02
202103,2.07,0.55
202104,1.01,-0.83
202105,2.99,0.97
202106,1.19,-0.35
202107,2.15,0.05
202108,1.40,-0.63
202109,1.23,-0.20
202110,1.12,-0.23
202111,0.37,-0.70
202112,1.72,0.64
202201,0.78,-0.28
202202,0.94,-0.15
202203,1.44,-0.08
202204,0.73,-1.11
202205,1.61,-0.41
202206,1.42,-0.12
