Connecticut, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,32.4,-2.0
201502,27.3,-8.4
201503,40.9,-4.3
201504,58.2,1.1
201505,75.5,6.9
201506,75.3,-1.4
201507,82.7,1.2
201508,83.1,3.8
201509,79.7,7.3
201510,62.7,0.6
201511,56.0,6.6
201512,51.5,13.8
201601,38.5,4.1
201602,42.6,6.9
201603,53.6,8.4
201604,58.2,1.1
201605,69.3,0.7
201606,78.9,2.2
201607,85.0,3.5
201608,84.5,5.2
201609,76.7,4.3
201610,64.1,2.0
201611,53.7,4.3
201612,41.3,3.6
201701,40.1,5.7
201702,44.4,8.7
201703,42.8,-2.4
201704,62.4,5.3
201705,66.4,-2.2
201706,77.9,1.2
201707,81.6,0.1
201708,79.6,0.3
201709,76.2,3.8
201710,69.6,7.5
201711,51.0,1.6
201712,36.1,-1.6
201801,34.6,0.2
201802,44.7,9.0
201803,44.5,-0.7
201804,53.7,-3.4
201805,73.6,5.0
201806,77.0,0.3
201807,84.5,3.0
201808,83.4,4.1
201809,74.1,1.7
201810,61.2,-0.9
201811,46.5,-2.9
201812,41.9,4.2
201901,35.8,1.4
201902,38.7,3.0
201903,44.5,-0.7
201904,58.9,1.8
201905,66.7,-1.9
201906,76.7,0.0
201907,85.8,4.3
201908,81.2,1.9
201909,74.3,1.9
201910,62.6,0.5
201911,47.4,-2.0
201912,39.7,2.0
202001,41.5,7.1
202002,42.0,6.3
202003,51.1,5.9
202004,54.0,-3.1
202005,67.8,-0.8
202006,80.2,3.5
202007,85.8,4.3
202008,82.9,3.6
202009,74.4,2.0
202010,62.5,0.4
202011,56.3,6.9
202012,42.0,4.3
202101,36.5,2.1
202102,35.9,0.2
202103,50.5,5.3
202104,60.0,2.9
202105,69.3,0.7
202106,80.4,3.7
202107,79.9,-1.6
202108,81.6,2.3
202109,74.5,2.1
202110,65.8,3.7
202111,51.4,2.0
202112,44.6,6.9
202201,33.9,-0.5
202202,41.5,5.8
202203,48.9,3.7
202204,58.1,1.0
202205,71.2,2.6
202206,77.3,0.6
