Connecticut, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,14.2,-2.1
201502,4.4,-12.5
201503,21.1,-4.6
201504,35.8,0.9
201505,49.8,4.8
201506,55.2,1.1
201507,61.6,1.8
201508,60.9,3.0
201509,55.8,5.2
201510,40.1,0.2
201511,36.1,5.1
201512,35.5,14.7
201601,20.9,4.6
201602,21.3,4.4
201603,32.7,7.0
201604,35.4,0.5
201605,47.5,2.5
201606,56.0,1.9
201607,63.2,3.4
201608,63.2,5.3
201609,55.7,5.1
201610,42.9,3.0
201611,33.3,2.3
201612,24.0,3.2
201701,25.4,9.1
201702,24.9,8.0
201703,24.1,-1.6
201704,41.3,6.4
201705,46.9,1.9
201706,56.0,1.9
201707,61.5,1.7
201708,58.6,0.7
201709,55.8,5.2
201710,47.6,7.7
201711,31.0,0.0
201712,21.3,0.5
201801,16.3,0.0
201802,26.6,9.7
201803,28.4,2.7
201804,33.2,-1.7
201805,50.8,5.8
201806,55.8,1.7
201807,63.5,3.7
201808,65.3,7.4
201809,58.1,7.5
201810,43.3,3.4
201811,31.6,0.6
201812,25.8,5.0
201901,18.3,2.0
201902,21.8,4.9
201903,25.5,-0.2
201904,39.2,4.3
201905,47.5,2.5
201906,56.3,2.2
201907,64.1,4.3
201908,60.0,2.1
201909,52.0,1.4
201910,44.6,4.7
201911,28.8,-2.2
201912,23.8,3.0
202001,24.6,8.3
202002,25.8,8.9
202003,31.7,6.0
202004,34.9,0.0
202005,44.9,-0.1
202006,56.6,2.5
202007,65.4,5.6
202008,62.2,4.3
202009,52.5,1.9
202010,44.0,4.1
202011,34.5,3.5
202012,25.2,4.4
202101,21.8,5.5
202102,21.2,4.3
202103,28.1,2.4
202104,37.4,2.5
202105,46.3,1.3
202106,58.1,4.0
202107,62.3,2.5
202108,64.0,6.1
202109,55.9,5.3
202110,47.8,7.9
202111,30.6,-0.4
202112,29.5,8.7
202201,14.5,-1.8
202202,19.7,2.8
202203,28.9,3.2
202204,37.0,2.1
202205,50.0,5.0
202206,55.3,1.2
