Connecticut, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-0.98
201502,-1.41
201503,-1.53
201504,-1.89
201505,-2.87
201506,-1.81
201507,-2.00
201508,-2.57
201509,-2.72
201510,-2.74
201511,-3.43
201512,-3.45
201601,-3.61
201602,-2.46
201603,-3.12
201604,-3.27
201605,-3.24
201606,-3.66
201607,-3.74
201608,-3.85
201609,-4.33
201610,-4.12
201611,-4.30
201612,-4.08
201701,-3.72
201702,-3.87
201703,-3.67
201704,-3.31
201705,-2.55
201706,-2.41
201707,-1.95
201708,-2.18
201709,-2.63
201710,-1.29
201711,-1.93
201712,-2.23
201801,0.05
201802,0.87
201803,0.54
201804,1.06
201805,-0.68
201806,-0.67
201807,0.36
201808,0.68
201809,1.87
201810,2.24
201811,3.30
201812,3.31
201901,3.69
201902,3.23
201903,2.46
201904,3.24
201905,3.13
201906,2.66
201907,2.41
201908,2.04
201909,1.13
201910,1.92
201911,1.41
201912,2.14
202001,-0.56
202002,-0.53
202003,-0.74
202004,-0.20
202005,-0.61
202006,-1.11
202007,-1.60
202008,-2.31
202009,-2.81
202010,-2.31
202011,-2.22
202012,-1.22
202101,-1.62
202102,-1.52
202103,-1.97
202104,-2.26
202105,-1.60
202106,-2.19
202107,1.81
202108,2.04
202109,3.10
202110,3.51
202111,-0.65
202112,-1.23
202201,-1.47
202202,-0.93
202203,-1.36
202204,-1.05
202205,-1.55
202206,-1.56
