Connecticut, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,23.3,-2.1
201502,15.8,-10.5
201503,31.0,-4.4
201504,47.0,1.0
201505,62.7,5.9
201506,65.3,-0.1
201507,72.2,1.5
201508,72.0,3.4
201509,67.8,6.3
201510,51.4,0.4
201511,46.1,5.9
201512,43.5,14.3
201601,29.7,4.3
201602,32.0,5.7
201603,43.2,7.8
201604,46.8,0.8
201605,58.4,1.6
201606,67.4,2.0
201607,74.1,3.4
201608,73.9,5.3
201609,66.2,4.7
201610,53.5,2.5
201611,43.5,3.3
201612,32.6,3.4
201701,32.7,7.3
201702,34.6,8.3
201703,33.4,-2.0
201704,51.8,5.8
201705,56.7,-0.1
201706,67.0,1.6
201707,71.5,0.8
201708,69.1,0.5
201709,66.0,4.5
201710,58.6,7.6
201711,41.0,0.8
201712,28.7,-0.5
201801,25.4,0.0
201802,35.7,9.4
201803,36.4,1.0
201804,43.4,-2.6
201805,62.2,5.4
201806,66.4,1.0
201807,74.0,3.3
201808,74.3,5.7
201809,66.1,4.6
201810,52.3,1.3
201811,39.1,-1.1
201812,33.8,4.6
201901,27.0,1.6
201902,30.2,3.9
201903,35.0,-0.4
201904,49.1,3.1
201905,57.1,0.3
201906,66.5,1.1
201907,74.9,4.2
201908,70.6,2.0
201909,63.2,1.7
201910,53.6,2.6
201911,38.1,-2.1
201912,31.7,2.5
202001,33.0,7.6
202002,33.9,7.6
202003,41.4,6.0
202004,44.4,-1.6
202005,56.4,-0.4
202006,68.4,3.0
202007,75.6,4.9
202008,72.6,4.0
202009,63.5,2.0
202010,53.2,2.2
202011,45.4,5.2
202012,33.6,4.4
202101,29.2,3.8
202102,28.5,2.2
202103,39.3,3.9
202104,48.7,2.7
202105,57.8,1.0
202106,69.2,3.8
202107,71.1,0.4
202108,72.8,4.2
202109,65.2,3.7
202110,56.8,5.8
202111,41.0,0.8
202112,37.0,7.8
202201,24.2,-1.2
202202,30.6,4.3
202203,38.9,3.5
202204,47.6,1.6
202205,60.6,3.8
202206,66.3,0.9
202207,74.1,3.4
202208,74.4,5.8
202209,63.5,2.0
202210,52.5,1.5
