Connecticut, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,3.47,-0.26
201502,2.01,-1.27
201503,3.05,-1.14
201504,2.74,-1.39
201505,1.21,-2.72
201506,6.35,2.65
201507,2.81,-1.10
201508,2.14,-2.09
201509,3.62,-0.37
201510,3.31,-0.36
201511,2.23,-1.89
201512,4.14,0.14
201601,2.14,-1.59
201602,4.94,1.66
201603,2.16,-2.03
201604,2.86,-1.27
201605,3.33,-0.60
201606,1.78,-1.92
201607,3.32,-0.59
201608,3.70,-0.53
201609,1.92,-2.07
201610,3.88,0.21
201611,3.24,-0.88
201612,3.46,-0.54
201701,3.56,-0.17
201702,2.14,-1.14
201703,3.33,-0.86
201704,4.71,0.58
201705,5.35,1.42
201706,3.54,-0.16
201707,4.38,0.47
201708,2.62,-1.61
201709,2.30,-1.69
201710,8.26,4.59
201711,1.62,-2.50
201712,2.29,-1.71
201801,3.86,0.13
201802,5.28,2.00
201803,3.47,-0.72
201804,5.39,1.26
201805,2.67,-1.26
201806,3.79,0.09
201807,5.32,1.41
201808,5.68,1.45
201809,8.56,4.57
201810,4.99,1.32
201811,8.09,3.97
201812,5.06,1.06
201901,5.90,2.17
201902,3.01,-0.27
201903,2.76,-1.43
201904,7.32,3.19
201905,4.82,0.89
201906,3.42,-0.28
201907,4.20,0.29
201908,3.96,-0.27
201909,1.86,-2.13
201910,7.19,3.52
201911,2.87,-1.25
201912,6.60,2.60
202001,2.05,-1.68
202002,3.24,-0.04
202003,3.88,-0.31
202004,5.19,1.06
202005,2.69,-1.24
202006,2.47,-1.23
202007,3.06,-0.85
202008,2.43,-1.80
202009,2.16,-1.83
202010,5.31,1.64
202011,4.51,0.39
202012,6.38,2.38
202101,2.12,-1.61
202102,3.04,-0.24
202103,2.65,-1.54
202104,3.03,-1.10
202105,5.51,1.58
202106,1.99,-1.71
202107,9.35,5.44
202108,5.08,0.85
202109,8.19,4.20
202110,5.99,2.32
202111,1.99,-2.13
202112,2.13,-1.87
202201,2.59,-1.14
202202,4.08,0.80
202203,2.85,-1.34
202204,4.75,0.62
202205,2.66,-1.27
202206,3.45,-0.25
