Delaware, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,40.1,-1.9
201502,36.0,-7.6
201503,50.3,-2.5
201504,65.3,2.2
201505,79.1,5.8
201506,82.5,1.2
201507,85.9,0.3
201508,85.6,2.0
201509,81.7,3.9
201510,67.0,-0.2
201511,61.9,6.4
201512,59.4,14.4
201601,43.7,1.7
201602,47.4,3.8
201603,60.2,7.4
201604,64.4,1.3
201605,70.7,-2.6
201606,82.6,1.3
201607,89.0,3.4
201608,88.8,5.2
201609,80.9,3.1
201610,70.4,3.2
201611,59.9,4.4
201612,48.1,3.1
201701,46.2,4.2
201702,55.0,11.4
201703,53.9,1.1
201704,70.0,6.9
201705,72.0,-1.3
201706,84.0,2.7
201707,87.5,1.9
201708,83.1,-0.5
201709,78.9,1.1
201710,72.5,5.3
201711,57.7,2.2
201712,44.8,-0.2
201801,42.4,0.4
201802,52.8,9.2
201803,48.9,-3.9
201804,62.4,-0.7
201805,78.5,5.2
201806,82.0,0.7
201807,86.8,1.2
201808,87.8,4.2
201809,80.7,2.9
201810,69.5,2.3
201811,54.0,-1.5
201812,49.7,4.7
201901,44.1,2.1
201902,47.7,4.1
201903,52.9,0.1
201904,69.3,6.2
201905,76.6,3.3
201906,83.6,2.3
201907,90.2,4.6
201908,86.0,2.4
201909,82.4,4.6
201910,70.9,3.7
201911,53.9,-1.6
201912,49.1,4.1
202001,49.0,7.0
202002,51.3,7.7
202003,59.3,6.5
202004,62.0,-1.1
202005,70.4,-2.9
202006,84.1,2.8
202007,90.6,5.0
202008,85.9,2.3
202009,77.8,0.0
202010,69.8,2.6
202011,63.0,7.5
202012,48.7,3.7
202101,43.8,1.8
202102,42.7,-0.9
202103,58.4,5.6
202104,67.1,4.0
202105,75.2,1.9
202106,83.8,2.5
202107,87.2,1.6
202108,85.8,2.2
202109,79.8,2.0
202110,72.3,5.1
202111,55.8,0.3
202112,53.3,8.3
202201,40.8,-1.2
202202,49.8,6.2
202203,57.3,4.5
202204,63.1,0.0
202205,73.8,0.5
202206,82.8,1.5
