Delaware, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,24.0,-0.6
201502,16.5,-8.6
201503,29.6,-3.1
201504,43.1,2.1
201505,56.8,5.8
201506,64.7,4.6
201507,67.8,2.4
201508,64.5,0.7
201509,62.2,5.2
201510,46.1,0.6
201511,41.3,5.4
201512,42.2,14.8
201601,25.0,0.4
201602,29.6,4.5
201603,39.2,6.5
201604,41.7,0.7
201605,52.6,1.6
201606,62.2,2.1
201607,70.1,4.7
201608,68.5,4.7
201609,63.2,6.2
201610,50.1,4.6
201611,38.0,2.1
201612,30.3,2.9
201701,32.0,7.4
201702,33.7,8.6
201703,33.7,1.0
201704,49.2,8.2
201705,53.6,2.6
201706,63.2,3.1
201707,69.3,3.9
201708,65.0,1.2
201709,60.7,3.7
201710,52.4,6.9
201711,37.3,1.4
201712,27.5,0.1
201801,23.2,-1.4
201802,33.7,8.6
201803,32.0,-0.7
201804,40.8,-0.2
201805,58.1,7.1
201806,63.3,3.2
201807,67.6,2.2
201808,69.4,5.6
201809,66.4,9.4
201810,51.0,5.5
201811,37.4,1.5
201812,33.1,5.7
201901,26.5,1.9
201902,29.8,4.7
201903,33.6,0.9
201904,48.1,7.1
201905,57.2,6.2
201906,64.0,3.9
201907,69.4,4.0
201908,66.9,3.1
201909,60.8,3.8
201910,52.1,6.6
201911,33.3,-2.6
201912,30.8,3.4
202001,31.3,6.7
202002,32.6,7.5
202003,39.7,7.0
202004,41.6,0.6
202005,50.9,-0.1
202006,63.2,3.1
202007,70.7,5.3
202008,68.5,4.7
202009,59.6,2.6
202010,50.2,4.7
202011,40.5,4.6
202012,30.8,3.4
202101,28.5,3.9
202102,28.5,3.4
202103,37.0,4.3
202104,43.5,2.5
202105,51.5,0.5
202106,63.8,3.7
202107,68.0,2.6
202108,68.0,4.2
202109,60.0,3.0
202110,53.8,8.3
202111,34.3,-1.6
202112,34.5,7.1
202201,22.3,-2.3
202202,28.1,3.0
202203,36.1,3.4
202204,42.4,1.4
202205,54.9,3.9
202206,60.8,0.7
