Delaware, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.80
201502,0.48
201503,0.74
201504,-0.22
201505,-1.21
201506,1.75
201507,-0.18
201508,-0.66
201509,-0.99
201510,-0.78
201511,-1.03
201512,-0.81
201601,-0.99
201602,-0.62
201603,-1.59
201604,-1.75
201605,0.73
201606,0.70
201607,0.91
201608,0.27
201609,2.15
201610,0.00
201611,-0.73
201612,-0.76
201701,-0.91
201702,-1.83
201703,-1.47
201704,-2.00
201705,0.61
201706,0.01
201707,0.99
201708,1.97
201709,-0.23
201710,-0.15
201711,-0.43
201712,-1.08
201801,-1.09
201802,0.65
201803,0.72
201804,0.66
201805,1.39
201806,1.38
201807,1.74
201808,1.52
201809,2.18
201810,2.71
201811,3.95
201812,4.10
201901,3.70
201902,3.44
201903,-0.13
201904,-0.38
201905,0.03
201906,0.50
201907,-0.29
201908,-0.78
201909,-1.76
201910,-1.64
201911,-2.29
201912,-2.12
202001,-2.09
202002,-1.92
202003,-2.06
202004,-1.63
202005,-1.78
202006,-2.08
202007,0.24
202008,1.28
202009,1.54
202010,2.28
202011,3.03
202012,3.75
202101,2.95
202102,3.79
202103,0.03
202104,-0.60
202105,-0.83
202106,-0.98
202107,-0.71
202108,-0.50
202109,-0.48
202110,-0.63
202111,-1.49
202112,-2.56
202201,-2.24
202202,-2.56
202203,-2.78
202204,-2.33
202205,-2.08
202206,-1.88
