Delaware, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,4.96,1.47
201502,2.32,-0.72
201503,4.53,0.55
201504,3.13,-0.35
201505,1.50,-2.06
201506,9.01,5.37
201507,3.33,-0.98
201508,2.81,-1.78
201509,3.20,-0.40
201510,3.84,0.71
201511,3.02,-0.04
201512,4.62,1.16
201601,2.67,-0.82
201602,3.79,0.75
201603,1.73,-2.25
201604,2.73,-0.75
201605,5.88,2.32
201606,3.72,0.08
201607,5.53,1.22
201608,3.03,-1.56
201609,9.98,6.38
201610,2.87,-0.26
201611,0.79,-2.27
201612,2.95,-0.51
201701,3.00,-0.49
201702,1.24,-1.80
201703,4.46,0.48
201704,2.63,-0.85
201705,5.68,2.12
201706,2.32,-1.32
201707,8.04,3.73
201708,7.91,3.32
201709,2.57,-1.03
201710,3.59,0.46
201711,2.04,-1.02
201712,1.05,-2.41
201801,2.98,-0.51
201802,4.97,1.93
201803,4.09,0.11
201804,3.40,-0.08
201805,6.99,3.43
201806,3.97,0.33
201807,5.77,1.46
201808,4.53,-0.06
201809,6.61,3.01
201810,5.04,1.91
201811,6.85,3.79
201812,4.82,1.36
201901,3.45,-0.04
201902,3.47,0.43
201903,3.59,-0.39
201904,3.57,0.09
201905,4.48,0.92
201906,5.01,1.37
201907,3.41,-0.90
201908,3.14,-1.45
201909,1.32,-2.28
201910,4.13,1.00
201911,1.38,-1.68
201912,4.07,0.61
202001,3.19,-0.30
202002,3.30,0.26
202003,3.62,-0.36
202004,3.96,0.48
202005,2.63,-0.93
202006,2.51,-1.13
202007,6.37,2.06
202008,8.85,4.26
202009,4.35,0.75
202010,5.28,2.15
202011,5.84,2.78
202012,6.02,2.56
202101,2.34,-1.15
202102,5.65,2.61
202103,4.47,0.49
202104,2.29,-1.19
202105,3.04,-0.52
202106,3.21,-0.43
202107,5.24,0.93
202108,5.47,0.88
202109,3.85,0.25
202110,3.47,0.34
202111,0.88,-2.18
202112,0.99,-2.47
202201,4.17,0.68
202202,1.94,-1.10
202203,2.93,-1.05
202204,3.94,0.46
202205,4.09,0.53
202206,3.47,-0.17
