Delaware, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,32.1,-1.2
201502,26.3,-8.1
201503,40.0,-2.7
201504,54.2,2.2
201505,67.9,5.8
201506,73.6,2.9
201507,76.9,1.4
201508,75.1,1.4
201509,72.0,4.6
201510,56.5,0.1
201511,51.6,5.9
201512,50.8,14.6
201601,34.3,1.0
201602,38.5,4.1
201603,49.7,7.0
201604,53.1,1.1
201605,61.7,-0.4
201606,72.4,1.7
201607,79.6,4.1
201608,78.6,4.9
201609,72.0,4.6
201610,60.3,3.9
201611,49.0,3.3
201612,39.2,3.0
201701,39.1,5.8
201702,44.4,10.0
201703,43.8,1.1
201704,59.6,7.6
201705,62.8,0.7
201706,73.6,2.9
201707,78.4,2.9
201708,74.0,0.3
201709,69.8,2.4
201710,62.4,6.0
201711,47.5,1.8
201712,36.1,-0.1
201801,32.8,-0.5
201802,43.2,8.8
201803,40.5,-2.2
201804,51.6,-0.4
201805,68.3,6.2
201806,72.6,1.9
201807,77.2,1.7
201808,78.6,4.9
201809,73.6,6.2
201810,60.2,3.8
201811,45.7,0.0
201812,41.4,5.2
201901,35.3,2.0
201902,38.7,4.3
201903,43.2,0.5
201904,58.7,6.7
201905,66.9,4.8
201906,73.8,3.1
201907,79.8,4.3
201908,76.4,2.7
201909,71.6,4.2
201910,61.5,5.1
201911,43.6,-2.1
201912,40.0,3.8
202001,40.2,6.9
202002,41.9,7.5
202003,49.5,6.8
202004,51.8,-0.2
202005,60.6,-1.5
202006,73.7,3.0
202007,80.7,5.2
202008,77.2,3.5
202009,68.7,1.3
202010,60.0,3.6
202011,51.8,6.1
202012,39.7,3.5
202101,36.2,2.9
202102,35.6,1.2
202103,47.7,5.0
202104,55.3,3.3
202105,63.3,1.2
202106,73.8,3.1
202107,77.6,2.1
202108,76.9,3.2
202109,69.9,2.5
202110,63.1,6.7
202111,45.1,-0.6
202112,43.9,7.7
202201,31.5,-1.8
202202,39.0,4.6
202203,46.7,4.0
202204,52.8,0.8
202205,64.4,2.3
202206,71.8,1.1
202207,78.1,2.6
202208,77.5,3.8
202209,68.9,1.5
202210,56.1,-0.3
