Florida, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,69.1,0.2
201502,67.8,-3.1
201503,80.2,4.7
201504,84.9,3.7
201505,88.6,2.0
201506,91.7,1.8
201507,92.2,1.5
201508,91.6,0.9
201509,88.4,0.0
201510,83.8,1.3
201511,81.2,6.0
201512,78.3,8.4
201601,66.6,-2.3
201602,70.8,-0.1
201603,79.4,3.9
201604,82.3,1.1
201605,87.4,0.8
201606,91.6,1.7
201607,93.8,3.1
201608,91.8,1.1
201609,90.1,1.7
201610,84.9,2.4
201611,78.6,3.4
201612,76.3,6.4
201701,74.2,5.3
201702,77.8,6.9
201703,78.3,2.8
201704,84.3,3.1
201705,88.8,2.2
201706,88.2,-1.7
201707,91.6,0.9
201708,91.3,0.6
201709,89.2,0.8
201710,83.9,1.4
201711,78.0,2.8
201712,72.3,2.4
201801,65.9,-3.0
201802,79.3,8.4
201803,75.7,0.2
201804,82.1,0.9
201805,85.8,-0.8
201806,90.9,1.0
201807,91.2,0.5
201808,91.0,0.3
201809,91.0,2.6
201810,86.2,3.7
201811,77.0,1.8
201812,71.6,1.7
201901,69.5,0.6
201902,77.6,6.7
201903,76.8,1.3
201904,82.9,1.7
201905,89.7,3.1
201906,91.7,1.8
201907,92.0,1.3
201908,91.3,0.6
201909,91.6,3.2
201910,86.9,4.4
201911,75.8,0.6
201912,73.8,3.9
202001,72.7,3.8
202002,74.6,3.7
202003,82.6,7.1
202004,84.2,3.0
202005,86.9,0.3
202006,90.2,0.3
202007,92.1,1.4
202008,92.0,1.3
202009,88.7,0.3
202010,85.6,3.1
202011,79.7,4.5
202012,69.4,-0.5
202101,69.4,0.5
202102,74.4,3.5
202103,78.7,3.2
202104,81.2,0.0
202105,87.4,0.8
202106,89.6,-0.3
202107,90.2,-0.5
202108,91.0,0.3
202109,88.3,-0.1
202110,84.8,2.3
202111,74.2,-1.0
202112,77.0,7.1
202201,68.7,-0.2
202202,74.6,3.7
202203,80.0,4.5
202204,83.0,1.8
202205,88.4,1.8
202206,92.0,2.1
