Florida, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,48.1,1.5
201502,45.3,-2.6
201503,58.9,6.4
201504,65.4,8.0
201505,66.4,2.9
201506,71.7,2.5
201507,73.4,2.1
201508,73.3,1.8
201509,71.6,1.9
201510,65.0,2.9
201511,63.1,9.8
201512,60.8,13.1
201601,47.2,0.6
201602,47.9,0.0
201603,58.2,5.7
201604,60.0,2.6
201605,64.9,1.4
201606,72.2,3.0
201607,74.2,2.9
201608,74.1,2.6
201609,72.1,2.4
201610,64.4,2.3
201611,54.6,1.3
201612,55.6,7.9
201701,51.4,4.8
201702,53.1,5.2
201703,54.2,1.7
201704,60.2,2.8
201705,65.4,1.9
201706,72.1,2.9
201707,73.9,2.6
201708,74.3,2.8
201709,71.5,1.8
201710,65.9,3.8
201711,56.8,3.5
201712,51.1,3.4
201801,44.1,-2.5
201802,59.2,11.3
201803,50.4,-2.1
201804,58.3,0.9
201805,67.0,3.5
201806,72.2,3.0
201807,73.5,2.2
201808,73.3,1.8
201809,73.7,4.0
201810,66.8,4.7
201811,56.4,3.1
201812,52.0,4.3
201901,47.2,0.6
201902,57.4,9.5
201903,54.6,2.1
201904,59.6,2.2
201905,68.0,4.5
201906,72.9,3.7
201907,73.5,2.2
201908,74.5,3.0
201909,72.3,2.6
201910,68.8,6.7
201911,54.1,0.8
201912,54.0,6.3
202001,50.8,4.2
202002,52.5,4.6
202003,59.4,6.9
202004,61.9,4.5
202005,64.6,1.1
202006,71.8,2.6
202007,74.0,2.7
202008,74.3,2.8
202009,72.5,2.8
202010,68.7,6.6
202011,61.8,8.5
202012,45.8,-1.9
202101,48.0,1.4
202102,53.1,5.2
202103,56.9,4.4
202104,58.6,1.2
202105,65.0,1.5
202106,72.0,2.8
202107,73.6,2.3
202108,74.3,2.8
202109,71.1,1.4
202110,66.0,3.9
202111,52.8,-0.5
202112,56.2,8.5
202201,46.6,0.0
202202,51.6,3.7
202203,56.9,4.4
202204,60.7,3.3
202205,67.1,3.6
202206,71.9,2.7
