Florida, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.99
201502,1.01
201503,-0.84
201504,-0.74
201505,-1.43
201506,-1.86
201507,-1.95
201508,-1.60
201509,-1.51
201510,-2.11
201511,-1.86
201512,-1.94
201601,1.19
201602,1.09
201603,-0.35
201604,-0.47
201605,-0.22
201606,-0.19
201607,-1.21
201608,-1.04
201609,-0.81
201610,-1.17
201611,-2.04
201612,-2.36
201701,-2.06
201702,-2.57
201703,-3.24
201704,-3.47
201705,-3.50
201706,1.55
201707,1.47
201708,1.87
201709,2.38
201710,2.60
201711,-0.31
201712,-0.69
201801,-0.47
201802,-1.14
201803,-1.50
201804,0.20
201805,2.12
201806,1.87
201807,2.07
201808,2.10
201809,-0.72
201810,-1.48
201811,0.03
201812,1.59
201901,1.85
201902,-0.78
201903,-1.38
201904,-1.36
201905,-1.71
201906,-1.47
201907,-1.48
201908,-0.88
201909,-2.54
201910,-2.33
201911,-2.54
201912,-2.03
202001,-2.42
202002,-2.28
202003,-3.44
202004,0.05
202005,0.33
202006,0.28
202007,0.30
202008,0.50
202009,1.28
202010,1.10
202011,1.36
202012,1.33
202101,-0.37
202102,-0.16
202103,-0.98
202104,-0.40
202105,-1.25
202106,0.31
202107,0.73
202108,1.30
202109,1.32
202110,1.14
202111,1.40
202112,-0.55
202201,-0.67
202202,-1.45
202203,0.26
202204,0.16
202205,0.24
202206,-0.16
