Georgia, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,55.8,-1.3
201502,54.6,-5.8
201503,70.1,2.6
201504,77.3,1.5
201505,84.9,1.5
201506,90.4,1.3
201507,92.2,1.5
201508,89.6,-0.3
201509,83.0,-2.6
201510,75.5,-0.9
201511,69.7,3.1
201512,68.9,10.7
201601,55.0,-2.1
201602,61.7,1.3
201603,73.4,5.9
201604,76.3,0.5
201605,82.9,-0.5
201606,91.5,2.4
201607,94.2,3.5
201608,92.0,2.1
201609,88.9,3.3
201610,81.2,4.8
201611,72.3,5.7
201612,62.6,4.4
201701,64.1,7.0
201702,69.8,9.4
201703,70.9,3.4
201704,80.5,4.7
201705,83.5,0.1
201706,86.0,-3.1
201707,90.5,-0.2
201708,88.7,-1.2
201709,85.0,-0.6
201710,78.5,2.1
201711,68.9,2.3
201712,59.0,0.8
201801,54.2,-2.9
201802,69.5,9.1
201803,67.0,-0.5
201804,73.8,-2.0
201805,84.8,1.4
201806,90.0,0.9
201807,89.8,-0.9
201808,89.2,-0.7
201809,90.0,4.4
201810,79.5,3.1
201811,63.6,-3.0
201812,59.6,1.4
201901,58.7,1.6
201902,66.8,6.4
201903,68.4,0.9
201904,77.5,1.7
201905,87.9,4.5
201906,88.8,-0.3
201907,91.8,1.1
201908,91.3,1.4
201909,92.0,6.4
201910,80.8,4.4
201911,65.1,-1.5
201912,62.8,4.6
202001,61.7,4.6
202002,62.2,1.8
202003,73.9,6.4
202004,76.2,0.4
202005,81.2,-2.2
202006,87.3,-1.8
202007,92.0,1.3
202008,90.1,0.2
202009,83.4,-2.2
202010,79.2,2.8
202011,72.0,5.4
202012,58.7,0.5
202101,57.9,0.8
202102,60.3,-0.1
202103,72.3,4.8
202104,75.7,-0.1
202105,82.2,-1.2
202106,87.1,-2.0
202107,88.7,-2.0
202108,89.3,-0.6
202109,84.4,-1.2
202110,78.1,1.7
202111,66.4,-0.2
202112,67.8,9.6
202201,57.4,0.3
202202,65.6,5.2
202203,72.3,4.8
202204,77.0,1.2
202205,85.2,1.8
202206,92.0,2.9
