Georgia, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,34.1,-1.0
201502,31.9,-4.9
201503,47.5,4.3
201504,56.4,6.2
201505,59.9,1.4
201506,68.2,2.5
201507,70.8,2.1
201508,69.4,1.3
201509,64.7,1.3
201510,54.2,2.2
201511,49.8,7.9
201512,48.8,12.9
201601,33.8,-1.3
201602,38.2,1.4
201603,48.5,5.3
201604,51.4,1.2
201605,58.6,0.1
201606,67.9,2.2
201607,71.3,2.6
201608,71.2,3.1
201609,66.0,2.6
201610,54.3,2.3
201611,43.6,1.7
201612,41.6,5.7
201701,42.2,7.1
201702,43.2,6.4
201703,45.0,1.8
201704,54.6,4.4
201705,59.4,0.9
201706,67.2,1.5
201707,70.6,1.9
201708,70.0,1.9
201709,63.1,-0.3
201710,55.5,3.5
201711,43.9,2.0
201712,39.5,3.6
201801,30.8,-4.3
201802,48.9,12.1
201803,42.0,-1.2
201804,47.4,-2.8
201805,62.7,4.2
201806,68.6,2.9
201807,70.6,1.9
201808,69.6,1.5
201809,69.6,6.2
201810,57.2,5.2
201811,42.8,0.9
201812,40.9,5.0
201901,37.8,2.7
201902,45.3,8.5
201903,44.1,0.9
201904,51.7,1.5
201905,63.5,5.0
201906,67.4,1.7
201907,70.2,1.5
201908,70.2,2.1
201909,66.2,2.8
201910,58.6,6.6
201911,40.6,-1.3
201912,41.8,5.9
202001,41.1,6.0
202002,41.5,4.7
202003,52.3,9.1
202004,50.1,-0.1
202005,57.5,-1.0
202006,66.5,0.8
202007,71.0,2.3
202008,70.6,2.5
202009,65.2,1.8
202010,57.8,5.8
202011,48.8,6.9
202012,34.1,-1.8
202101,37.4,2.3
202102,38.7,1.9
202103,47.5,4.3
202104,48.4,-1.8
202105,56.6,-1.9
202106,66.8,1.1
202107,69.9,1.2
202108,70.8,2.7
202109,63.1,-0.3
202110,56.4,4.4
202111,39.1,-2.8
202112,45.2,9.3
202201,34.4,-0.7
202202,39.8,3.0
202203,45.7,2.5
202204,49.2,-1.0
202205,61.4,2.9
202206,68.0,2.3
