Georgia, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,0.72
201502,0.79
201503,-0.83
201504,-0.20
201505,-0.86
201506,-1.04
201507,-1.53
201508,0.15
201509,0.02
201510,0.09
201511,1.04
201512,2.16
201601,-0.10
201602,0.11
201603,-0.85
201604,-0.74
201605,-1.03
201606,-1.22
201607,-2.38
201608,-2.94
201609,-3.19
201610,-3.68
201611,-4.31
201612,-3.75
201701,-2.44
201702,-3.23
201703,-3.91
201704,-3.81
201705,0.63
201706,1.45
201707,1.20
201708,1.09
201709,1.51
201710,1.68
201711,-0.62
201712,-0.87
201801,-1.17
201802,-1.42
201803,-1.73
201804,0.17
201805,1.03
201806,1.16
201807,1.34
201808,1.62
201809,0.94
201810,1.05
201811,2.19
201812,3.82
201901,3.63
201902,-0.62
201903,-1.25
201904,-1.21
201905,-1.93
201906,-1.35
201907,-1.94
201908,-2.17
201909,-3.47
201910,0.55
201911,0.62
201912,1.26
202001,1.26
202002,2.56
202003,2.04
202004,3.02
202005,2.57
202006,2.18
202007,1.23
202008,1.61
202009,2.39
202010,2.42
202011,2.12
202012,1.75
202101,1.68
202102,1.91
202103,1.46
202104,1.23
202105,0.83
202106,1.50
202107,2.14
202108,2.83
202109,3.51
202110,3.96
202111,-0.34
202112,-0.35
202201,-0.38
202202,-0.78
202203,-0.97
202204,-0.97
202205,-1.15
202206,-1.79
