Georgia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,3.64,-0.75
201502,4.49,-0.02
201503,2.81,-2.25
201504,6.20,2.39
201505,2.17,-1.54
201506,4.25,-0.24
201507,4.65,-0.95
201508,5.78,0.86
201509,3.75,-0.17
201510,3.23,0.50
201511,6.28,3.41
201512,8.49,4.42
201601,3.78,-0.61
201602,4.87,0.36
201603,3.03,-2.03
201604,4.16,0.35
201605,2.78,-0.93
201606,4.02,-0.47
201607,2.75,-2.85
201608,4.00,-0.92
201609,3.49,-0.43
201610,1.39,-1.34
201611,0.95,-1.92
201612,5.68,1.61
201701,7.72,3.33
201702,2.09,-2.42
201703,2.11,-2.95
201704,3.74,-0.07
201705,5.60,1.89
201706,6.36,1.87
201707,4.86,-0.74
201708,4.58,-0.34
201709,5.01,1.09
201710,3.54,0.81
201711,1.00,-1.87
201712,3.19,-0.88
201801,2.82,-1.57
201802,4.29,-0.22
201803,3.55,-1.51
201804,4.16,0.35
201805,6.67,2.96
201806,5.06,0.57
201807,6.26,0.66
201808,5.54,0.62
201809,2.75,-1.17
201810,3.83,1.10
201811,6.24,3.37
201812,9.63,5.56
201901,4.94,0.55
201902,3.26,-1.25
201903,2.95,-2.11
201904,3.93,0.12
201905,2.30,-1.41
201906,5.95,1.46
201907,3.93,-1.67
201908,4.53,-0.39
201909,0.89,-3.03
201910,5.49,2.76
201911,3.18,0.31
201912,6.54,2.47
202001,4.94,0.55
202002,8.81,4.30
202003,5.31,0.25
202004,7.59,3.78
202005,3.18,-0.53
202006,3.75,-0.74
202007,3.95,-1.65
202008,6.91,1.99
202009,6.48,2.56
202010,3.45,0.72
202011,2.99,0.12
202012,3.10,-0.97
202101,4.61,0.22
202102,5.64,1.13
202103,4.83,-0.23
202104,3.63,-0.18
202105,2.80,-0.91
202106,6.24,1.75
202107,7.30,1.70
202108,6.75,1.83
202109,5.52,1.60
202110,4.45,1.72
202111,1.13,-1.74
202112,4.24,0.17
202201,3.99,-0.40
202202,3.47,-1.04
202203,4.66,-0.40
202204,3.70,-0.11
202205,3.43,-0.28
202206,2.89,-1.60
