Georgia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,44.9,-1.2
201502,43.2,-5.4
201503,58.8,3.4
201504,66.8,3.8
201505,72.4,1.4
201506,79.3,1.9
201507,81.5,1.8
201508,79.5,0.5
201509,73.8,-0.7
201510,64.8,0.6
201511,59.8,5.6
201512,58.9,11.8
201601,44.4,-1.7
201602,50.0,1.4
201603,60.9,5.5
201604,63.9,0.9
201605,70.8,-0.2
201606,79.7,2.3
201607,82.8,3.1
201608,81.6,2.6
201609,77.5,3.0
201610,67.8,3.6
201611,58.0,3.8
201612,52.1,5.0
201701,53.2,7.1
201702,56.5,7.9
201703,58.0,2.6
201704,67.5,4.5
201705,71.4,0.4
201706,76.6,-0.8
201707,80.6,0.9
201708,79.4,0.4
201709,74.0,-0.5
201710,67.0,2.8
201711,56.4,2.2
201712,49.3,2.2
201801,42.5,-3.6
201802,59.2,10.6
201803,54.5,-0.9
201804,60.6,-2.4
201805,73.7,2.7
201806,79.3,1.9
201807,80.2,0.5
201808,79.4,0.4
201809,79.8,5.3
201810,68.4,4.2
201811,53.2,-1.0
201812,50.2,3.1
201901,48.2,2.1
201902,56.1,7.5
201903,56.3,0.9
201904,64.6,1.6
201905,75.7,4.7
201906,78.1,0.7
201907,81.0,1.3
201908,80.7,1.7
201909,79.1,4.6
201910,69.7,5.5
201911,52.8,-1.4
201912,52.3,5.2
202001,51.4,5.3
202002,51.9,3.3
202003,63.1,7.7
202004,63.1,0.1
202005,69.4,-1.6
202006,76.9,-0.5
202007,81.5,1.8
202008,80.4,1.4
202009,74.3,-0.2
202010,68.5,4.3
202011,60.4,6.2
202012,46.4,-0.7
202101,47.7,1.6
202102,49.5,0.9
202103,59.9,4.5
202104,62.1,-0.9
202105,69.4,-1.6
202106,77.0,-0.4
202107,79.3,-0.4
202108,80.0,1.0
202109,73.7,-0.8
202110,67.2,3.0
202111,52.7,-1.5
202112,56.5,9.4
202201,45.9,-0.2
202202,52.7,4.1
202203,59.0,3.6
202204,63.1,0.1
202205,73.3,2.3
202206,80.0,2.6
202207,81.2,1.5
202208,79.5,0.5
202209,74.0,-0.5
202210,62.1,-2.1
