Idaho, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,36.7,6.5
201502,44.8,9.2
201503,53.5,10.7
201504,55.3,2.6
201505,63.8,1.8
201506,80.0,9.6
201507,79.6,-1.5
201508,81.4,1.9
201509,71.9,2.5
201510,62.6,6.2
201511,38.7,-1.8
201512,31.5,-0.2
201601,33.2,3.0
201602,41.2,5.6
201603,46.6,3.8
201604,59.7,7.0
201605,63.0,1.0
201606,76.4,6.0
201607,80.6,-0.5
201608,81.3,1.8
201609,67.8,-1.6
201610,55.4,-1.0
201611,48.2,7.7
201612,27.6,-4.1
201701,27.3,-2.9
201702,37.2,1.6
201703,47.8,5.0
201704,50.9,-1.8
201705,64.1,2.1
201706,73.2,2.8
201707,86.4,5.3
201708,82.9,3.4
201709,69.0,-0.4
201710,53.9,-2.5
201711,43.1,2.6
201712,33.5,1.8
201801,38.1,7.9
201802,35.1,-0.5
201803,43.7,0.9
201804,53.8,1.1
201805,66.5,4.5
201806,71.2,0.8
201807,84.9,3.8
201808,80.8,1.3
201809,71.7,2.3
201810,55.4,-1.0
201811,41.3,0.8
201812,32.0,0.3
201901,34.9,4.7
201902,31.2,-4.4
201903,43.9,1.1
201904,53.2,0.5
201905,61.7,-0.3
201906,71.0,0.6
201907,80.7,-0.4
201908,81.8,2.3
201909,67.6,-1.8
201910,48.7,-7.7
201911,45.0,4.5
201912,33.4,1.7
202001,34.2,4.0
202002,36.7,1.1
202003,45.6,2.8
202004,54.4,1.7
202005,63.5,1.5
202006,68.8,-1.6
202007,80.7,-0.4
202008,83.0,3.5
202009,74.8,5.4
202010,58.4,2.0
202011,42.3,1.8
202012,35.2,3.5
202101,34.6,4.4
202102,33.6,-2.0
202103,46.9,4.1
202104,55.3,2.6
202105,63.0,1.0
202106,80.8,10.4
202107,87.9,6.8
202108,78.7,-0.8
202109,72.8,3.4
202110,55.7,-0.7
202111,45.4,4.9
202112,33.7,2.0
202201,32.8,2.6
202202,35.2,-0.4
202203,46.9,4.1
202204,48.6,-4.1
202205,57.6,-4.4
202206,70.5,0.1
