Idaho, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,20.7,6.9
201502,25.6,8.3
201503,28.1,5.7
201504,29.4,0.2
201505,39.8,3.3
201506,49.5,6.6
201507,50.6,1.4
201508,50.2,2.6
201509,42.5,2.4
201510,38.7,6.9
201511,21.0,-1.8
201512,17.1,0.9
201601,18.4,4.6
201602,22.5,5.2
201603,27.4,5.0
201604,34.2,5.0
201605,38.2,1.7
201606,45.9,3.0
201607,49.0,-0.2
201608,48.2,0.6
201609,41.5,1.4
201610,36.0,4.2
201611,29.2,6.4
201612,10.7,-5.5
201701,9.8,-4.0
201702,21.8,4.5
201703,29.2,6.8
201704,29.8,0.6
201705,37.0,0.5
201706,45.0,2.1
201707,53.5,4.3
201708,50.8,3.2
201709,42.4,2.3
201710,29.8,-2.0
201711,26.6,3.8
201712,16.9,0.7
201801,22.8,9.0
201802,17.4,0.1
201803,23.6,1.2
201804,30.9,1.7
201805,41.4,4.9
201806,44.2,1.3
201807,51.8,2.6
201808,49.1,1.5
201809,40.6,0.5
201810,32.7,0.9
201811,22.7,-0.1
201812,16.6,0.4
201901,17.8,4.0
201902,15.3,-2.0
201903,21.0,-1.4
201904,32.6,3.4
201905,37.8,1.3
201906,43.4,0.5
201907,50.3,1.1
201908,50.1,2.5
201909,42.4,2.3
201910,24.6,-7.2
201911,23.7,0.9
201912,19.8,3.6
202001,20.3,6.5
202002,15.7,-1.6
202003,24.6,2.2
202004,28.7,-0.5
202005,37.8,1.3
202006,43.7,0.8
202007,49.1,-0.1
202008,51.2,3.6
202009,42.6,2.5
202010,32.4,0.6
202011,23.2,0.4
202012,17.3,1.1
202101,18.5,4.7
202102,17.0,-0.3
202103,22.8,0.4
202104,28.7,-0.5
202105,36.7,0.2
202106,49.2,6.3
202107,55.7,6.5
202108,49.2,1.6
202109,41.4,1.3
202110,34.6,2.8
202111,28.0,5.2
202112,19.3,3.1
202201,14.9,1.1
202202,13.8,-3.5
202203,25.5,3.1
202204,25.4,-3.8
202205,34.7,-1.8
202206,43.7,0.8
