Idaho, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,-1.34
201502,-1.71
201503,-2.62
201504,-2.86
201505,-2.21
201506,-2.88
201507,-2.70
201508,-2.68
201509,-2.46
201510,-2.59
201511,-2.56
201512,-1.77
201601,-1.53
201602,-1.80
201603,-1.10
201604,-1.57
201605,-1.42
201606,-2.06
201607,-2.44
201608,-3.01
201609,0.33
201610,1.86
201611,1.21
201612,1.46
201701,1.72
201702,3.09
201703,3.53
201704,3.83
201705,-0.35
201706,-0.51
201707,-1.13
201708,-1.86
201709,-1.22
201710,-1.06
201711,-0.72
201712,-0.95
201801,-0.88
201802,-0.81
201803,-0.48
201804,-0.16
201805,-0.17
201806,-0.28
201807,-0.85
201808,-1.37
201809,-2.06
201810,-1.76
201811,-1.80
201812,-2.10
201901,-2.41
201902,1.47
201903,0.81
201904,1.36
201905,1.68
201906,-0.39
201907,-0.52
201908,-0.82
201909,0.53
201910,0.77
201911,-0.97
201912,-1.56
202001,-1.26
202002,-1.27
202003,-1.48
202004,-1.66
202005,0.17
202006,0.93
202007,1.14
202008,-0.40
202009,-0.87
202010,-0.99
202011,-1.20
202012,-1.79
202101,-2.23
202102,-1.58
202103,-2.26
202104,-2.73
202105,-2.94
202106,-3.88
202107,-4.87
202108,-4.65
202109,-4.62
202110,-3.56
202111,-3.59
202112,-2.95
202201,-2.77
202202,-3.37
202203,-3.81
202204,-2.88
202205,-1.66
202206,-1.28
