Idaho, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,2.06,-0.96
201502,1.86,-0.60
201503,1.51,-0.81
201504,1.23,-0.71
201505,2.89,0.77
201506,0.77,-1.03
201507,1.37,0.54
201508,0.76,-0.08
201509,1.31,0.10
201510,1.69,-0.05
201511,2.51,-0.17
201512,4.56,1.66
201601,2.66,-0.36
201602,1.65,-0.81
201603,3.58,1.26
201604,1.65,-0.29
201605,2.21,0.09
201606,0.80,-1.00
201607,0.72,-0.11
201608,0.15,-0.69
201609,1.82,0.61
201610,4.54,2.80
201611,1.44,-1.24
201612,3.66,0.76
201701,3.33,0.31
201702,4.91,2.45
201703,4.14,1.82
201704,2.95,1.01
201705,1.60,-0.52
201706,1.69,-0.11
201707,0.33,-0.50
201708,0.35,-0.49
201709,2.09,0.88
201710,1.65,-0.09
201711,3.55,0.87
201712,2.24,-0.66
201801,2.78,-0.24
201802,2.33,-0.13
201803,2.75,0.43
201804,2.54,0.60
201805,2.47,0.35
201806,1.64,-0.16
201807,0.12,-0.71
201808,0.53,-0.31
201809,0.16,-1.05
201810,1.94,0.20
201811,2.38,-0.30
201812,2.24,-0.66
201901,2.22,-0.80
201902,4.78,2.32
201903,1.40,-0.92
201904,3.20,1.26
201905,2.83,0.71
201906,1.09,-0.71
201907,0.54,-0.29
201908,0.60,-0.24
201909,2.09,0.88
201910,1.58,-0.16
201911,0.82,-1.86
201912,2.26,-0.64
202001,3.96,0.94
202002,2.12,-0.34
202003,2.01,-0.31
202004,1.44,-0.50
202005,2.45,0.33
202006,2.99,1.19
202007,0.43,-0.40
202008,0.25,-0.59
202009,0.68,-0.53
202010,1.52,-0.22
202011,2.43,-0.25
202012,1.91,-0.99
202101,2.34,-0.68
202102,3.06,0.60
202103,1.18,-1.14
202104,0.86,-1.08
202105,1.38,-0.74
202106,0.55,-1.25
202107,0.58,-0.25
202108,1.22,0.38
202109,0.83,-0.38
202110,2.89,1.15
202111,2.18,-0.50
202112,3.86,0.96
202201,2.31,-0.71
202202,0.90,-1.56
202203,1.44,-0.88
202204,2.35,0.41
202205,3.22,1.10
202206,2.08,0.28
