Illinois, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,17.6,0.8
201502,9.8,-10.5
201503,27.7,-2.3
201504,42.3,2.0
201505,54.5,3.9
201506,62.5,2.5
201507,64.8,0.7
201508,61.3,-0.6
201509,58.8,4.4
201510,44.6,1.7
201511,36.8,5.3
201512,33.9,12.5
201601,19.0,2.2
201602,25.4,5.1
201603,37.6,7.6
201604,41.6,1.3
201605,51.5,0.9
201606,63.3,3.3
201607,66.4,2.3
201608,66.5,4.6
201609,60.1,5.7
201610,49.2,6.3
201611,37.7,6.2
201612,21.8,0.4
201701,24.9,8.1
201702,30.2,9.9
201703,33.5,3.5
201704,45.5,5.2
201705,51.3,0.7
201706,61.0,1.0
201707,65.4,1.3
201708,59.5,-2.4
201709,55.9,1.5
201710,48.0,5.1
201711,32.1,0.6
201712,20.8,-0.6
201801,14.6,-2.2
201802,22.0,1.7
201803,30.0,0.0
201804,33.3,-7.0
201805,59.0,8.4
201806,64.6,4.6
201807,64.7,0.6
201808,64.6,2.7
201809,59.6,5.2
201810,43.7,0.8
201811,28.5,-3.0
201812,26.6,5.2
201901,17.5,0.7
201902,20.8,0.5
201903,27.9,-2.1
201904,41.7,1.4
201905,52.6,2.0
201906,60.8,0.8
201907,67.2,3.1
201908,62.5,0.6
201909,61.1,6.7
201910,43.0,0.1
201911,27.2,-4.3
201912,26.6,5.2
202001,25.0,8.2
202002,24.0,3.7
202003,35.6,5.6
202004,38.3,-2.0
202005,50.9,0.3
202006,62.3,2.3
202007,67.3,3.2
202008,61.9,0.0
202009,54.6,0.2
202010,40.8,-2.1
202011,36.4,4.9
202012,24.3,2.9
202101,23.2,6.4
202102,12.8,-7.5
202103,35.6,5.6
202104,41.4,1.1
202105,50.7,0.1
202106,63.6,3.6
202107,65.3,1.2
202108,65.1,3.2
202109,57.4,3.0
202110,51.1,8.2
202111,30.6,-0.9
202112,30.6,9.2
202201,12.5,-4.3
202202,18.0,-2.3
202203,32.5,2.5
202204,39.3,-1.0
202205,55.0,4.4
202206,61.8,1.8
