Illinois, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,2.39
201502,2.02
201503,1.57
201504,1.19
201505,1.41
201506,3.40
201507,3.83
201508,3.55
201509,3.24
201510,2.47
201511,3.14
201512,4.57
201601,3.73
201602,3.13
201603,2.65
201604,2.17
201605,2.06
201606,1.35
201607,2.47
201608,3.71
201609,3.50
201610,3.07
201611,2.81
201612,2.39
201701,2.32
201702,1.38
201703,1.35
201704,2.25
201705,2.44
201706,-0.36
201707,0.42
201708,-0.27
201709,-1.35
201710,-0.62
201711,-0.78
201712,-1.32
201801,-1.48
201802,1.57
201803,1.83
201804,1.46
201805,0.77
201806,1.38
201807,1.24
201808,1.76
201809,2.15
201810,2.48
201811,2.89
201812,3.16
201901,3.51
201902,3.90
201903,4.05
201904,3.97
201905,5.03
201906,5.01
201907,4.25
201908,4.15
201909,4.23
201910,4.83
201911,4.82
201912,4.33
202001,5.01
202002,4.66
202003,4.41
202004,4.32
202005,4.40
202006,3.70
202007,4.03
202008,3.09
202009,2.76
202010,2.62
202011,2.24
202012,1.77
202101,1.90
202102,1.70
202103,1.69
202104,1.24
202105,1.25
202106,1.46
202107,1.97
202108,2.02
202109,1.41
202110,2.36
202111,1.82
202112,1.77
202201,1.30
202202,1.89
202203,2.17
202204,2.00
202205,1.65
202206,0.89
