Illinois, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,1.50,-0.63
201502,1.43,-0.43
201503,2.35,-0.74
201504,3.41,-0.31
201505,5.39,1.31
201506,9.44,5.35
201507,5.21,1.57
201508,3.02,-0.48
201509,3.42,-0.08
201510,1.44,-1.35
201511,5.52,2.76
201512,6.67,4.34
201601,0.86,-1.27
201602,1.31,-0.55
201603,3.35,0.26
201604,3.30,-0.42
201605,4.34,0.26
201606,3.13,-0.96
201607,6.90,3.26
201608,6.77,3.27
201609,3.42,-0.08
201610,2.38,-0.41
201611,2.59,-0.17
201612,1.40,-0.93
201701,2.13,0.00
201702,0.73,-1.13
201703,3.56,0.47
201704,6.88,3.16
201705,5.17,1.09
201706,3.19,-0.90
201707,4.81,1.17
201708,2.40,-1.10
201709,0.83,-2.67
201710,5.00,2.21
201711,2.26,-0.50
201712,0.84,-1.49
201801,1.30,-0.83
201802,4.88,3.02
201803,3.91,0.82
201804,2.42,-1.30
201805,3.80,-0.28
201806,6.29,2.20
201807,3.44,-0.20
201808,4.91,1.41
201809,4.90,1.40
201810,3.68,0.89
201811,3.01,0.25
201812,3.25,0.92
201901,3.31,1.18
201902,3.21,1.35
201903,4.06,0.97
201904,4.58,0.86
201905,8.16,4.08
201906,5.16,1.07
201907,3.05,-0.59
201908,4.05,0.55
201909,5.00,1.50
201910,5.00,2.21
201911,2.40,-0.36
201912,1.88,-0.45
202001,4.36,2.23
202002,2.01,0.15
202003,3.95,0.86
202004,4.32,0.60
202005,5.28,1.20
202006,3.61,-0.48
202007,5.61,1.97
202008,1.91,-1.59
202009,3.26,-0.24
202010,2.97,0.18
202011,2.95,0.19
202012,1.71,-0.62
202101,2.47,0.34
202102,1.67,-0.19
202103,3.97,0.88
202104,3.04,-0.68
202105,4.30,0.22
202106,5.17,1.08
202107,4.99,1.35
202108,3.73,0.23
202109,2.29,-1.21
202110,6.02,3.23
202111,0.86,-1.90
202112,2.52,0.19
202201,1.05,-1.08
202202,3.15,1.29
202203,4.36,1.27
202204,3.55,-0.17
202205,4.09,0.01
202206,2.72,-1.37
