Indiana, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,33.5,-1.6
201502,29.1,-9.4
201503,47.4,-2.2
201504,64.6,2.7
201505,76.3,3.2
201506,80.3,-1.8
201507,82.7,-3.4
201508,81.6,-2.5
201509,81.0,3.1
201510,66.9,1.0
201511,57.0,6.4
201512,49.8,11.4
201601,35.7,0.6
201602,42.7,4.2
201603,57.1,7.5
201604,64.0,2.1
201605,71.5,-1.6
201606,84.4,2.3
201607,84.5,-1.6
201608,85.0,0.9
201609,81.2,3.3
201610,70.4,4.5
201611,57.7,7.1
201612,37.2,-1.2
201701,41.2,6.1
201702,51.7,13.2
201703,52.0,2.4
201704,68.4,6.5
201705,71.6,-1.5
201706,82.8,0.7
201707,84.5,-1.6
201708,81.1,-3.0
201709,79.2,1.3
201710,67.6,1.7
201711,51.9,1.3
201712,38.0,-0.4
201801,33.3,-1.8
201802,44.5,6.0
201803,47.4,-2.2
201804,56.3,-5.6
201805,81.6,8.5
201806,83.5,1.4
201807,84.8,-1.3
201808,83.8,-0.3
201809,80.0,2.1
201810,65.3,-0.6
201811,43.8,-6.8
201812,42.9,4.5
201901,34.9,-0.2
201902,40.8,2.3
201903,46.7,-2.9
201904,63.2,1.3
201905,73.0,-0.1
201906,80.0,-2.1
201907,86.8,0.7
201908,83.2,-0.9
201909,82.5,4.6
201910,67.0,1.1
201911,45.4,-5.2
201912,45.2,6.8
202001,40.9,5.8
202002,40.7,2.2
202003,53.8,4.2
202004,60.2,-1.7
202005,70.0,-3.1
202006,83.8,1.7
202007,87.1,1.0
202008,82.9,-1.2
202009,77.1,-0.8
202010,64.1,-1.8
202011,57.3,6.7
202012,41.6,3.2
202101,36.3,1.2
202102,31.6,-6.9
202103,57.8,8.2
202104,63.7,1.8
202105,71.2,-1.9
202106,83.0,0.9
202107,83.3,-2.8
202108,85.6,1.5
202109,80.0,2.1
202110,69.4,3.5
202111,50.1,-0.5
202112,50.0,11.6
202201,33.7,-1.4
202202,39.3,0.8
202203,54.6,5.0
202204,60.0,-1.9
202205,75.9,2.8
202206,84.7,2.6
202207,85.5,-0.6
202208,83.5,-0.6
202209,77.5,-0.4
202210,66.2,0.3
