Indiana, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,17.1,-0.9
201502,9.4,-10.9
201503,27.0,-2.5
201504,41.1,1.8
201505,53.6,4.1
201506,61.6,2.7
201507,63.1,0.3
201508,59.6,-1.0
201509,56.6,3.2
201510,44.4,2.5
201511,36.2,4.6
201512,35.2,13.0
201601,19.3,1.3
201602,25.1,4.8
201603,37.5,8.0
201604,40.1,0.8
201605,49.7,0.2
201606,61.3,2.4
201607,64.8,2.0
201608,66.4,5.8
201609,58.6,5.2
201610,48.6,6.7
201611,36.4,4.8
201612,22.4,0.2
201701,26.4,8.4
201702,31.0,10.7
201703,33.2,3.7
201704,45.5,6.2
201705,50.3,0.8
201706,59.3,0.4
201707,64.0,1.2
201708,58.8,-1.8
201709,55.1,1.7
201710,47.7,5.8
201711,32.8,1.2
201712,21.1,-1.1
201801,15.7,-2.3
201802,25.7,5.4
201803,29.1,-0.4
201804,33.9,-5.4
201805,57.8,8.3
201806,63.4,4.5
201807,63.5,0.7
201808,64.3,3.7
201809,59.8,6.4
201810,44.5,2.6
201811,29.8,-1.8
201812,27.9,5.7
201901,19.0,1.0
201902,23.8,3.5
201903,27.6,-1.9
201904,41.2,1.9
201905,52.3,2.8
201906,59.7,0.8
201907,65.7,2.9
201908,61.4,0.8
201909,59.2,5.8
201910,44.1,2.2
201911,27.5,-4.1
201912,27.1,4.9
202001,27.7,9.7
202002,25.0,4.7
202003,35.4,5.9
202004,37.6,-1.7
202005,49.5,0.0
202006,60.3,1.4
202007,65.8,3.0
202008,61.2,0.6
202009,53.4,0.0
202010,42.0,0.1
202011,36.0,4.4
202012,25.6,3.4
202101,24.6,6.6
202102,15.8,-4.5
202103,33.9,4.4
202104,40.1,0.8
202105,48.1,-1.4
202106,62.3,3.4
202107,64.2,1.4
202108,64.6,4.0
202109,56.8,3.4
202110,51.1,9.2
202111,29.9,-1.7
202112,31.0,8.8
202201,15.1,-2.9
202202,20.3,0.0
202203,32.6,3.1
202204,38.8,-0.5
202205,53.9,4.4
202206,59.7,0.8
