Indiana, Palmer Drought Severity Index (PDSI)


Missing: -99
Date,Value
201501,2.52
201502,1.92
201503,1.84
201504,1.96
201505,1.52
201506,3.43
201507,4.23
201508,3.69
201509,3.02
201510,2.58
201511,2.36
201512,3.05
201601,2.34
201602,2.36
201603,2.23
201604,2.10
201605,1.70
201606,1.53
201607,1.94
201608,3.15
201609,3.11
201610,2.82
201611,2.50
201612,2.23
201701,2.47
201702,1.62
201703,1.58
201704,1.54
201705,2.41
201706,2.30
201707,3.07
201708,2.53
201709,1.84
201710,2.16
201711,2.64
201712,1.95
201801,1.63
201802,3.10
201803,3.03
201804,2.90
201805,1.91
201806,2.55
201807,2.14
201808,2.79
201809,3.42
201810,3.38
201811,4.10
201812,4.01
201901,4.01
201902,4.63
201903,4.55
201904,4.76
201905,4.89
201906,5.31
201907,4.63
201908,4.27
201909,3.27
201910,3.41
201911,3.14
201912,3.09
202001,3.59
202002,3.51
202003,3.44
202004,2.89
202005,3.02
202006,-0.27
202007,-0.05
202008,-0.07
202009,-0.73
202010,-0.07
202011,-0.15
202012,-0.43
202101,-0.36
202102,-0.29
202103,-0.36
202104,-0.71
202105,-0.70
202106,0.69
202107,1.40
202108,1.35
202109,1.64
202110,2.79
202111,2.44
202112,2.64
202201,2.12
202202,2.98
202203,2.76
202204,2.36
202205,2.26
202206,1.27
