Indiana, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,2.11,-0.63
201502,1.40,-0.83
201503,3.54,0.03
201504,4.79,0.98
201505,3.98,-0.15
201506,9.07,4.99
201507,6.23,2.43
201508,2.57,-0.91
201509,2.39,-0.84
201510,2.42,-0.43
201511,3.57,0.55
201512,5.44,2.59
201601,1.34,-1.40
201602,2.78,0.55
201603,4.46,0.95
201604,4.17,0.36
201605,3.53,-0.60
201606,4.28,0.20
201607,5.13,1.33
201608,6.48,3.00
201609,3.66,0.43
201610,2.61,-0.24
201611,2.58,-0.44
201612,2.36,-0.49
201701,3.68,0.94
201702,1.35,-0.88
201703,4.04,0.53
201704,4.83,1.02
201705,6.90,2.77
201706,4.37,0.29
201707,6.07,2.27
201708,2.26,-1.22
201709,2.03,-1.20
201710,4.32,1.47
201711,4.43,1.41
201712,1.33,-1.52
201801,2.05,-0.69
201802,5.91,3.68
201803,3.92,0.41
201804,3.59,-0.22
201805,3.42,-0.71
201806,6.55,2.47
201807,3.37,-0.43
201808,5.33,1.85
201809,5.40,2.17
201810,2.82,-0.03
201811,4.32,1.30
201812,3.35,0.50
201901,3.50,0.76
201902,4.45,2.22
201903,4.18,0.67
201904,5.62,1.81
201905,6.02,1.89
201906,6.12,2.04
201907,3.61,-0.19
201908,3.51,0.03
201909,2.26,-0.97
201910,4.29,1.44
201911,2.70,-0.32
201912,3.26,0.41
202001,4.65,1.91
202002,2.81,0.58
202003,4.62,1.11
202004,3.05,-0.76
202005,5.07,0.94
202006,3.52,-0.56
202007,4.58,0.78
202008,3.31,-0.17
202009,1.53,-1.70
202010,4.44,1.59
202011,3.02,0.00
202012,1.80,-1.05
202101,2.45,-0.29
202102,2.21,-0.02
202103,3.82,0.31
202104,2.94,-0.87
202105,3.72,-0.41
202106,5.93,1.85
202107,5.44,1.64
202108,3.42,-0.06
202109,4.06,0.83
202110,6.04,3.19
202111,1.43,-1.59
202112,4.00,1.15
202201,1.70,-1.04
202202,4.55,2.32
202203,4.03,0.52
202204,3.30,-0.51
202205,5.03,0.90
202206,2.35,-1.73
