Iowa, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201501,30.7,3.6
201502,24.3,-8.2
201503,50.0,5.2
201504,63.5,3.7
201505,70.0,-1.7
201506,79.3,-1.3
201507,82.0,-3.5
201508,79.1,-3.9
201509,79.3,4.4
201510,64.4,1.1
201511,51.3,5.8
201512,39.5,8.1
201601,26.7,-0.4
201602,36.0,3.5
201603,52.8,8.0
201604,61.0,1.2
201605,70.9,-0.8
201606,84.8,4.2
201607,82.6,-2.9
201608,81.9,-1.1
201609,77.8,2.9
201610,66.3,3.0
201611,56.0,10.5
201612,30.4,-1.0
201701,30.5,3.4
201702,45.0,12.5
201703,46.8,2.0
201704,61.3,1.5
201705,69.8,-1.9
201706,83.6,3.0
201707,85.8,0.3
201708,78.8,-4.2
201709,79.1,4.2
201710,63.4,0.1
201711,46.4,0.9
201712,33.7,2.3
201801,27.0,-0.1
201802,29.8,-2.7
201803,43.6,-1.2
201804,50.6,-9.2
201805,78.7,7.0
201806,83.1,2.5
201807,83.8,-1.7
201808,82.3,-0.7
201809,75.9,1.0
201810,58.3,-5.0
201811,37.8,-7.7
201812,35.5,4.1
201901,27.0,-0.1
201902,24.5,-8.0
201903,40.0,-4.8
201904,60.8,1.0
201905,66.7,-5.0
201906,79.7,-0.9
201907,85.2,-0.3
201908,79.9,-3.1
201909,78.0,3.1
201910,57.2,-6.1
201911,41.1,-4.4
201912,38.1,6.7
202001,30.4,3.3
202002,34.3,1.8
202003,49.5,4.7
202004,59.0,-0.8
202005,67.3,-4.4
202006,83.7,3.1
202007,85.9,0.4
202008,84.1,1.1
202009,73.2,-1.7
202010,56.6,-6.7
202011,53.5,8.0
202012,36.7,5.3
202101,31.1,4.0
202102,20.5,-12.0
202103,52.5,7.7
202104,60.8,1.0
202105,69.3,-2.4
202106,85.7,5.1
202107,83.6,-1.9
202108,84.1,1.1
202109,79.5,4.6
202110,65.6,2.3
202111,49.6,4.1
202112,41.9,10.5
202201,26.3,-0.8
202202,33.2,0.7
202203,47.6,2.8
202204,54.9,-4.9
202205,72.0,0.3
202206,83.1,2.5
